Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Alex Vigneault,1,64,23,379,27,255,1,175,9,222,4,09:32,canadaeast,m
Albert-Dominic Larouche,2,65,2,400,35,246,2,175,1,249,25,10:28,canadaeast,m
Simon Paquette,3,101,4,398,2,279,27,152,58,199,10,10:07,canadaeast,m
Brandon Crump,4,103,4,398,13,263,9,156,28,209,49,10:53,canadaeast,m
Peter D'Amore,5,111,9,393,15,262,56,149,12,218,19,10:19,canadaeast,m
Andrick Fournier,6,118,37,361,19,260,13,155,11,219,38,10:49,canadaeast,m
Wes Ng,7,127,17,389,56,204,6,158,24,212,24,10:26,canadaeast,m
Chad Furey,8,132,18,388,11,265,25,153,15,218,63,11:01,canadaeast,m
Maxime Roy de sylva,9,143,84,355,1,322,29,152,26,211,3,09:24,canadaeast,m
Pascal Baillargeon,10,152,55,358,6,271,64,148,16,217,11,10:08,canadaeast,m
Matthew Lefave,11,163,24,378,32,249,4,159,45,200,58,10:59,canadaeast,m
Kyle Cant,12,170,11,392,30,253,102,145,8,222,19,10:19,canadaeast,m
Charles Felx Leduc,13,177,40,360,10,266,108,145,5,224,14,10:14,canadaeast,m
Dominic Adam,14,183,11,392,48,207,19,154,72,198,33,10:41,canadaeast,m
Joe Johnson,14,183,34,363,13,263,63,148,50,200,23,10:22,canadaeast,m
Adrian Lui,16,197,40,360,9,267,31,152,76,198,41,10:50,canadaeast,m
Francois Tremblay,17,235,21,380,7,270,154,143,47,200,6,09:53,canadaeast,m
Tommy Snarr,18,250,75,356,47,227,49,149,57,199,22,10:20,canadaeast,m
james thelemaque,19,252,9,393,33,247,17,155,46,200,147,11:49,canadaeast,m
Paul Tremblay,20,253,84,355,4,273,154,143,6,223,5,09:36,canadaeast,m
Nicolas Leblanc,21,258,11,392,24,257,218,141,4,228,1,09:13,canadaeast,m
Bruno Thimineur,22,260,34,363,60,203,12,155,141,195,13,10:10,canadaeast,m
Camill Leduc,23,272,93,354,42,241,93,146,14,218,30,10:38,canadaeast,m
Mizar Fuentes-Ortega,24,287,63,357,15,262,118,145,50,200,41,10:50,canadaeast,m
Chris Cristini,25,301,11,392,67,202,112,145,70,198,41,10:50,canadaeast,m
Jean-Michel Riendeau,26,310,101,353,21,259,74,147,25,212,89,11:17,canadaeast,m
Chad Hall,27,311,55,358,94,198,48,149,2,248,112,11:25,canadaeast,m
Olivier Donais,28,322,2,400,117,195,46,149,110,196,47,10:51,canadaeast,m
Reza Mashkoori,28,322,93,354,24,257,117,145,47,200,41,10:50,canadaeast,m
Maguid Nicholas,30,337,55,358,132,193,15,155,88,197,47,10:51,canadaeast,m
Karim El Hlimi,31,341,137,350,38,244,14,155,33,206,119,11:29,canadaeast,m
Yves Tourville,32,354,63,357,67,202,39,150,23,212,162,11:55,canadaeast,m
Steve Briscoe,33,355,34,363,219,181,34,151,19,215,49,10:53,canadaeast,m
Michael Senecal,34,356,24,378,26,256,186,142,12,218,108,11:24,canadaeast,m
Cedrik Bernier,35,363,75,356,33,247,115,145,7,223,133,11:39,canadaeast,m
Jonathan Laniel,36,381,75,356,60,203,160,143,10,219,76,11:11,canadaeast,m
Alexandre Beaulieu,37,384,120,351,51,206,83,147,60,199,70,11:04,canadaeast,m
Mike LeBlanc,38,392,7,396,48,207,95,146,117,196,125,11:32,canadaeast,m
Matthieu Dubreucq,39,395,164,348,15,262,81,147,27,211,108,11:24,canadaeast,m
Pierre-Paul Seguin,40,396,164,348,21,259,109,145,3,234,99,11:20,canadaeast,m
Alexandre Caron,41,405,40,360,84,200,110,145,71,198,100,11:21,canadaeast,m
Calan Aldred,42,416,55,358,103,197,56,149,125,196,77,11:12,canadaeast,m
Olek Kubicki,43,420,37,361,67,202,91,146,54,200,171,11:59,canadaeast,m
daniel latour,43,420,75,356,60,203,73,147,98,197,114,11:27,canadaeast,m
Kyle Charbonneau,45,425,32,365,38,244,76,147,82,198,197,12:12,canadaeast,m
Jonathan Gauvreau,46,440,19,384,141,192,8,156,260,191,12,10:09,canadaeast,m
Jay Rhodes,47,447,4,398,77,201,204,142,31,208,131,11:36,canadaeast,m
Patrick Vellner,48,448,120,351,215,182,41,150,54,200,18,10:18,canadaeast,m
Maxime Dufault,49,450,63,357,169,189,30,152,74,198,114,11:27,canadaeast,m
Jeff Larsh,50,456,7,396,132,193,119,145,135,195,63,11:01,canadaeast,m
Manuel Forcier,51,459,19,384,160,190,20,154,182,193,78,11:13,canadaeast,m
Phil Cress,52,464,40,360,94,198,59,149,191,193,80,11:14,canadaeast,m
Taras Kit,53,471,55,358,132,193,65,148,193,193,26,10:30,canadaeast,m
Jonathan Caron,54,482,175,347,126,194,26,153,77,198,78,11:13,canadaeast,m
Daniel Viger,55,500,63,357,117,195,102,145,190,193,28,10:33,canadaeast,m
Christopher Kalec,56,502,110,352,60,203,167,143,93,197,72,11:07,canadaeast,m
Rick Wilson,57,513,31,366,117,195,271,140,36,203,58,10:59,canadaeast,m
Yves-Ã‰ric Pilote,58,514,40,360,11,265,317,138,111,196,35,10:42,canadaeast,m
Ryan Poroznik,59,524,21,380,294,173,41,150,113,196,55,10:58,canadaeast,m
Michael Varalli,60,528,164,348,77,201,77,147,66,199,144,11:48,canadaeast,m
