Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Rory Zambard,1,18,1,445,10,204,3,177,1,203,3,09:33,northwest,f
Carleen Lessard,2,41,4,399,6,260,22,159,5,198,4,09:37,northwest,f
Ashleigh Moe,3,71,3,402,2,273,34,156,17,190,15,10:31,northwest,f
Emily Carothers,4,76,8,394,1,275,53,153,3,199,11,10:22,northwest,f
Joey Kimdon,5,85,34,357,19,199,5,175,12,191,15,10:31,northwest,f
Regan Huckaby,6,93,26,360,19,199,9,167,8,193,31,10:59,northwest,f
ashley shaeffer,6,93,10,393,11,203,14,161,28,188,30,10:54,northwest,f
Kendall Burnham,8,96,14,381,4,266,36,156,13,191,29,10:51,northwest,f
Danielle Miles,9,99,7,395,11,203,28,157,51,186,2,09:22,northwest,f
Capri Morton,10,110,23,372,44,190,15,160,10,191,18,10:32,northwest,f
Catherine Blatner,11,135,10,393,36,193,18,160,45,187,26,10:45,northwest,f
Brittany Chestnut,12,145,26,360,14,201,100,146,4,199,1,09:00,northwest,f
Erin Taylor,13,148,81,345,8,254,2,178,21,189,36,11:14,northwest,f
Samantha Tolbert,14,157,20,374,25,197,6,170,86,184,20,10:35,northwest,f
Kelcy Ware-Schneider,15,162,2,416,14,201,37,156,87,184,22,10:39,northwest,f
Jessica Core,16,168,81,345,5,265,67,150,9,192,6,09:53,northwest,f
Brooke Bergeson,17,195,81,345,36,193,41,155,29,188,8,10:04,northwest,f
Melissa Dixon,18,206,42,353,41,192,80,148,30,188,13,10:27,northwest,f
Allison King,19,207,17,375,32,194,45,154,67,185,46,11:29,northwest,f
Lori Kline,20,216,50,351,17,200,75,149,19,190,55,11:38,northwest,f
Marissa Luchau,21,221,22,373,44,190,52,153,52,186,51,11:35,northwest,f
Annie Olson,22,234,17,375,36,193,39,155,133,182,9,10:14,northwest,f
Caitlin Ritchey,23,241,5,397,65,178,83,148,20,190,68,11:51,northwest,f
Andrea Roozen,24,250,81,345,25,197,47,154,14,191,83,12:05,northwest,f
Tia Wright,25,260,50,351,9,207,114,145,15,191,72,11:54,northwest,f
Tara Hilgert,26,273,40,354,81,172,44,155,22,189,86,12:06,northwest,f
Karla Solum,26,273,40,354,137,136,34,156,27,188,35,11:09,northwest,f
Whitney Niemcziek Rosa,28,291,67,347,113,139,16,160,33,188,62,11:45,northwest,f
Amy Keenan,29,300,235,307,52,187,7,170,2,200,4,09:37,northwest,f
Kelsey Nagel,30,306,20,374,137,136,4,175,43,187,102,12:20,northwest,f
Caitlin Anderson,31,324,10,393,125,138,31,156,131,182,27,10:47,northwest,f
Karen McCadam,32,327,81,345,3,268,224,139,7,194,12,10:23,northwest,f
Molly Hunsinger,32,327,102,339,32,194,120,145,11,191,62,11:45,northwest,f
Kim Reinhardt,34,338,164,313,31,195,33,156,6,194,104,12:21,northwest,f
Amy Glass,35,342,108,336,21,198,17,160,70,185,126,12:33,northwest,f
Kaylee Nightingale,36,346,5,397,48,189,1,178,224,180,68,11:51,northwest,f
rachel perjessy,37,355,109,335,21,198,151,142,23,189,51,11:35,northwest,f
Janessa Brindza,38,356,93,343,32,194,68,150,25,189,138,12:39,northwest,f
Megan Keyes,39,374,120,330,65,178,49,154,68,185,72,11:54,northwest,f
Marisa Liepman,40,381,24,368,137,136,23,158,89,184,108,12:24,northwest,f
Johanna Schroeder,41,384,61,348,113,139,32,156,16,190,162,12:47,northwest,f
Rowena Manabat,42,411,30,359,104,140,144,143,76,185,57,11:40,northwest,f
Jamie Hubbs,42,411,42,353,157,134,43,155,98,184,71,11:53,northwest,f
Jennifer Howitt,44,415,163,314,70,177,54,153,75,185,53,11:36,northwest,f
Samantha Petersen,45,431,81,345,99,141,82,148,18,190,151,12:44,northwest,f
Alicia Bowman,46,441,91,344,30,196,70,149,161,181,89,12:08,northwest,f
Ashley Durschmidt,47,443,208,309,54,186,108,145,54,186,19,10:33,northwest,f
Keri Arvidson,48,447,17,375,128,137,48,154,87,184,167,12:49,northwest,f
Mandy Weaver,49,455,57,349,54,186,27,157,242,180,75,11:56,northwest,f
Erika Jorgensen,50,457,25,364,104,140,146,143,140,182,42,11:24,northwest,f
chelsea denigan,51,459,148,315,44,190,77,149,61,186,129,12:34,northwest,f
christa draggie,52,461,74,346,78,174,8,168,74,185,227,13:21,northwest,f
Katherine Rule,53,471,31,358,189,132,19,159,225,180,7,09:56,northwest,f
Sara Potter,53,471,47,352,270,126,11,164,130,182,13,10:27,northwest,f
Melissa Reese,55,479,74,346,11,203,239,138,106,184,49,11:34,northwest,f
Jennifer Wills,56,486,133,323,21,198,214,139,65,186,53,11:36,northwest,f
meagan moore,57,488,13,392,157,134,40,155,254,180,24,10:43,northwest,f
cheryl creasey,58,506,57,349,65,178,76,149,204,181,104,12:21,northwest,f
Brianna Neumann,59,524,93,343,72,176,185,140,92,184,82,12:03,northwest,f
Dawn Sibilia,60,530,136,322,75,175,234,138,36,188,49,11:34,northwest,f
