participant	group	fstim	fpro
11	NE	0	1
11	NE	1	0.97
11	NE	2	0.96
11	NE	3	0.93
11	NE	4	0.66
11	NE	5	0.51
11	NE	6	0.29
11	NE	7	0.1
11	NE	8	0.05
11	NE	9	0.01
11	NE	10	0.03
12	NE	0	0.98
12	NE	1	0.94
12	NE	2	0.83
12	NE	3	0.55
12	NE	4	0.27
12	NE	5	0.12
12	NE	6	0.1
12	NE	7	0.01
12	NE	8	0
12	NE	9	0.05
12	NE	10	0.01
13	NE	0	0.97
13	NE	1	0.98
13	NE	2	0.91
13	NE	3	0.79
13	NE	4	0.6
13	NE	5	0.32
13	NE	6	0.14
13	NE	7	0.06
13	NE	8	0.06
13	NE	9	0.09
13	NE	10	0.02
14	NE	0	0.94
14	NE	1	0.95
14	NE	2	0.87
14	NE	3	0.84
14	NE	4	0.64
14	NE	5	0.29
14	NE	6	0.16
14	NE	7	0.1
14	NE	8	0.06
14	NE	9	0.01
14	NE	10	0.08
15	NE	0	0.98
15	NE	1	0.92
15	NE	2	0.91
15	NE	3	0.79
15	NE	4	0.66
15	NE	5	0.42
15	NE	6	0.31
15	NE	7	0.13
15	NE	8	0.12
15	NE	9	0.09
15	NE	10	0.06
16	NE	0	1
16	NE	1	0.97
16	NE	2	1
16	NE	3	0.95
16	NE	4	0.87
16	NE	5	0.71
16	NE	6	0.4
16	NE	7	0.3
16	NE	8	0.1
16	NE	9	0.03
16	NE	10	0.06
17	NE	0	0.97
17	NE	1	0.98
17	NE	2	0.97
17	NE	3	0.85
17	NE	4	0.62
17	NE	5	0.41
17	NE	6	0.39
17	NE	7	0.17
17	NE	8	0.13
17	NE	9	0.08
17	NE	10	0.05
18	NE	0	0.95
18	NE	1	0.97
18	NE	2	0.97
18	NE	3	0.88
18	NE	4	0.66
18	NE	5	0.35
18	NE	6	0.22
18	NE	7	0.14
18	NE	8	0.07
18	NE	9	0.09
18	NE	10	0.01
19	NE	0	0.94
19	NE	1	0.92
19	NE	2	0.87
19	NE	3	0.79
19	NE	4	0.65
19	NE	5	0.56
19	NE	6	0.47
19	NE	7	0.3
19	NE	8	0.19
19	NE	9	0.1
19	NE	10	0.03
20	NE	0	0.96
20	NE	1	0.95
20	NE	2	0.92
20	NE	3	0.94
20	NE	4	0.65
20	NE	5	0.49
20	NE	6	0.34
20	NE	7	0.19
20	NE	8	0.08
20	NE	9	0.07
20	NE	10	0.05
21	LL	0	0.56
21	LL	1	0.52
21	LL	2	0.61
21	LL	3	0.54
21	LL	4	0.53
21	LL	5	0.58
21	LL	6	0.49
21	LL	7	0.43
21	LL	8	0.45
21	LL	9	0.45
21	LL	10	0.46
22	LL	0	0.52
22	LL	1	0.53
22	LL	2	0.53
22	LL	3	0.51
22	LL	4	0.5
22	LL	5	0.46
22	LL	6	0.45
22	LL	7	0.48
22	LL	8	0.49
22	LL	9	0.46
22	LL	10	0.46
23	LL	0	0.54
23	LL	1	0.55
23	LL	2	0.51
23	LL	3	0.49
23	LL	4	0.53
23	LL	5	0.42
23	LL	6	0.55
23	LL	7	0.47
23	LL	8	0.42
23	LL	9	0.45
23	LL	10	0.46
24	LL	0	0.5
24	LL	1	0.5
24	LL	2	0.5
24	LL	3	0.5
24	LL	4	0.5
24	LL	5	0.5
24	LL	6	0.5
24	LL	7	0.5
24	LL	8	0.5
24	LL	9	0.5
24	LL	10	0.5
25	LL	0	0.49
25	LL	1	0.48
25	LL	2	0.5
25	LL	3	0.5
25	LL	4	0.46
25	LL	5	0.48
25	LL	6	0.45
25	LL	7	0.44
25	LL	8	0.43
25	LL	9	0.45
25	LL	10	0.05
26	LL	0	0.49
26	LL	1	0.51
26	LL	2	0.44
26	LL	3	0.55
26	LL	4	0.44
26	LL	5	0.44
26	LL	6	0.47
26	LL	7	0.46
26	LL	8	0.46
26	LL	9	0.45
26	LL	10	0.05
27	LL	0	0.53
27	LL	1	0.49
27	LL	2	0.48
27	LL	3	0.39
27	LL	4	0.34
27	LL	5	0.39
27	LL	6	0.38
27	LL	7	0.45
27	LL	8	0.45
27	LL	9	0.45
27	LL	10	0.45
28	LL	0	0.49
28	LL	1	0.48
28	LL	2	0.53
28	LL	3	0.49
28	LL	4	0.44
28	LL	5	0.39
28	LL	6	0.38
28	LL	7	0.27
28	LL	8	0.21
28	LL	9	0.2
28	LL	10	0.18
29	LL	0	0.58
29	LL	1	0.57
29	LL	2	0.58
29	LL	3	0.59
29	LL	4	0.53
29	LL	5	0.46
29	LL	6	0.38
29	LL	7	0.27
29	LL	8	0.19
29	LL	9	0.15
29	LL	10	0.23
30	LL	0	0.49
30	LL	1	0.48
30	LL	2	0.53
30	LL	3	0.53
30	LL	4	0.44
30	LL	5	0.51
30	LL	6	0.44
30	LL	7	0.46
30	LL	8	0.39
30	LL	9	0.36
30	LL	10	0.32
