Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Marlene Andersson,1,8,1,348,1,194,1,182,2,189,3,11:30,asia,f
Eva Clarke,2,25,2,344,9,136,11,144,1,189,2,10:43,asia,f
Yuko Sakuyama,3,32,2,344,5,139,9,144,15,182,1,10:28,asia,f
Vanessa Fung,4,63,13,311,3,141,5,148,8,183,34,13:42,asia,f
Inger Larsen,5,77,4,338,30,114,21,140,12,182,10,12:46,asia,f
Crystal Sullivan,6,83,20,307,8,137,12,144,4,185,39,13:49,asia,f
Katherine Althoff,7,85,46,284,14,130,14,143,5,185,6,12:01,asia,f
Candice Ford,8,95,15,309,5,139,28,138,3,187,44,13:57,asia,f
Carrie Freestone,9,107,23,306,10,135,44,133,17,181,13,12:54,asia,f
Jenniffer Scott,10,108,11,312,17,129,53,132,7,184,20,13:10,asia,f
Courtney Worthington,11,109,7,322,5,139,31,137,42,180,24,13:16,asia,f
Laura Apollonio Bergen,12,111,28,304,12,133,40,134,11,183,20,13:10,asia,f
Joanne Thorpe,13,112,15,309,61,80,16,143,16,181,4,11:39,asia,f
Karla Larson,14,125,11,312,10,135,36,135,37,180,31,13:40,asia,f
Shark Lee,15,170,20,307,56,81,10,144,23,180,61,14:30,asia,f
Licia Passin,16,177,20,307,40,86,17,142,36,180,64,14:39,asia,f
Laura Matthews,17,178,30,303,70,79,26,138,28,180,24,13:16,asia,f
Hannah Mitchell,18,179,45,285,49,83,29,137,34,180,22,13:13,asia,f
Kristen Johnson,19,181,44,287,33,112,4,149,22,180,78,15:04,asia,f
Linda Huynh,20,190,51,277,27,116,52,132,45,180,15,12:56,asia,f
sarah stewart,21,197,23,306,113,72,23,139,25,180,13,12:54,asia,f
Loriedana Ballesteros,22,202,56,270,40,86,55,132,21,181,30,13:31,asia,f
Kaylee Martin,23,205,41,291,18,126,15,143,10,183,121,16:10,asia,f
Meg Tucker,24,208,52,276,23,121,62,131,13,182,58,14:24,asia,f
Choi Mi-Jung,25,213,81,264,19,124,37,135,19,181,57,14:22,asia,f
Gemma Lee,26,215,14,310,13,132,148,112,9,183,31,13:40,asia,f
Moe Sakio,26,215,18,308,19,124,88,129,14,182,76,15:01,asia,f
Katie Olson,28,221,9,315,25,118,90,127,50,180,47,13:59,asia,f
Marianne Gates,29,223,39,292,91,76,34,136,24,180,35,13:43,asia,f
Stephanie Cherrstrom,30,226,88,263,14,130,32,136,53,180,39,13:49,asia,f
Song Hee Jung,31,253,56,270,2,182,149,112,39,180,7,12:13,asia,f
Gyeonghae Shin,32,262,41,291,70,79,41,134,64,180,46,13:58,asia,f
Jung Dawon,33,269,8,321,108,73,38,135,40,180,75,14:58,asia,f
HEEJUNG CHO,34,298,25,305,40,86,159,111,43,180,31,13:40,asia,f
Jennifer Albee,35,307,88,263,108,73,39,135,55,180,17,13:00,asia,f
Marissa Ramirez,36,318,4,338,183,39,86,129,29,180,16,12:57,asia,f
Philippa Morris,37,319,71,266,121,70,18,141,50,180,59,14:26,asia,f
Juria Maree,38,339,77,265,49,83,49,133,20,181,144,16:37,asia,f
Caitlin Gerrity,39,340,101,261,56,81,19,141,27,180,137,16:30,asia,f
Melissa Gut,40,341,56,270,144,63,57,131,30,180,54,14:12,asia,f
Sharone Cohen - Porat,41,346,154,249,21,123,119,118,26,180,26,13:17,asia,f
Kristina Culbertson,42,348,129,256,38,87,60,131,78,177,43,13:54,asia,f
Holly Purdy,43,359,34,300,183,39,66,130,57,180,19,13:06,asia,f
seuli ku,44,362,6,328,103,74,142,113,83,176,28,13:26,asia,f
Sandra Soriano,45,366,118,258,35,111,84,130,44,180,85,15:12,asia,f
Babs Mountain,46,374,71,266,31,113,180,109,50,180,42,13:51,asia,f
Sohee Kim,47,387,77,265,113,72,61,131,67,180,69,14:41,asia,f
Tiffany Yancey,48,391,158,246,33,112,161,111,31,180,8,12:21,asia,f
Ania Krasnopolska,49,392,184,231,70,79,8,145,78,177,52,14:08,asia,f
Lili Urrego,50,396,81,264,52,82,181,109,56,180,26,13:17,asia,f
Christina Nymeyer,51,401,71,266,86,77,50,133,48,180,146,16:38,asia,f
Ariane Sand,52,402,33,301,61,80,204,107,60,180,44,13:57,asia,f
Tamar Merkelson,53,407,56,270,80,78,71,130,95,174,105,15:50,asia,f
Patty Banks,54,410,215,223,45,84,30,137,34,180,86,15:14,asia,f
Alexandra Bessonova,55,417,88,263,80,78,111,121,101,173,37,13:45,asia,f
Naksuj Ssusu,56,421,52,276,70,79,160,111,75,178,64,14:39,asia,f
Adel Weir,57,431,28,304,165,59,74,130,63,180,101,15:44,asia,f
Ryanhee Youn,58,433,56,270,179,52,50,133,59,180,89,15:20,asia,f
Trudy Sturkenboom,59,441,18,308,210,37,126,116,37,180,50,14:06,asia,f
Stephanie Liew,59,441,88,263,37,108,114,120,75,178,127,16:20,asia,f
