Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Rich Froning,1,5,1,444,1,359,1,177,1,277,1,08:26,centraleast,m
Scott Panchik,2,19,3,435,2,347,8,162,3,250,3,08:56,centraleast,m
Graham Holmberg,3,57,4,422,6,320,5,166,11,236,31,10:20,centraleast,m
Alex Anderson,3,57,5,407,12,275,23,155,13,231,4,09:14,centraleast,m
Joseph Weigel,5,80,24,391,3,335,12,160,6,241,35,10:23,centraleast,m
Will Moorad,6,91,18,393,6,320,53,151,5,242,9,09:43,centraleast,m
Sam Dancer,7,106,2,439,27,266,3,171,33,217,41,10:30,centraleast,m
Chris Sansbury,7,106,19,392,32,262,2,175,41,214,12,09:51,centraleast,m
Tristan Moore,9,119,15,395,56,252,9,162,15,229,24,10:12,centraleast,m
Nick Fory,10,139,44,377,8,318,76,150,4,243,7,09:34,centraleast,m
Chris Shimley,11,165,11,397,10,277,89,149,49,211,6,09:23,centraleast,m
Torey Throop,12,166,16,394,41,258,62,151,9,238,38,10:26,centraleast,m
Nick Urankar,13,169,8,401,11,276,124,147,12,235,14,09:52,centraleast,m
Landon Walker,14,173,11,397,58,249,71,150,28,220,5,09:15,centraleast,m
Matt Hewett,15,191,57,369,23,268,87,149,7,240,17,10:00,centraleast,m
Dave Rabbett,15,191,78,360,41,258,32,154,19,224,21,10:08,centraleast,m
Gerald Sasser,17,198,52,370,4,334,95,149,2,260,45,10:43,centraleast,m
Marcus Hendren,17,198,101,358,37,259,7,162,17,227,36,10:25,centraleast,m
Derek French,19,208,69,363,15,273,55,151,50,210,19,10:06,centraleast,m
Cody Keathley,20,219,24,391,41,258,109,148,29,220,16,09:58,centraleast,m
Alex Bookout,21,243,63,365,58,249,72,150,16,228,34,10:22,centraleast,m
David Diamond,22,263,108,357,9,291,100,149,14,231,32,10:21,centraleast,m
Patrick O'Connell,23,270,26,390,23,268,182,145,10,237,29,10:19,centraleast,m
Josh Woodhull,24,287,6,405,95,238,4,169,54,209,128,11:34,centraleast,m
Jon Esposito,25,299,39,381,13,274,49,152,44,213,154,11:48,centraleast,m
Brandon Shriner,26,314,97,359,27,266,68,150,80,200,42,10:32,centraleast,m
Jared Cantrell,27,324,48,372,45,257,50,152,112,199,69,11:00,centraleast,m
Dane Youtz,28,325,26,390,80,241,147,146,20,224,52,10:50,centraleast,m
Kevin Jones,29,332,35,387,108,207,25,155,99,199,65,10:58,centraleast,m
Jared Byczko,30,340,52,370,77,242,99,149,26,221,86,11:11,centraleast,m
Ken Battiston,31,343,209,349,29,265,13,160,31,218,61,10:56,centraleast,m
Eric Oxley,32,347,32,389,37,259,132,147,26,221,120,11:31,centraleast,m
Brian Giovinazzi,33,353,38,382,64,246,65,151,97,199,89,11:12,centraleast,m
Harrison Heller,34,360,78,360,111,206,85,149,63,205,23,10:10,centraleast,m
Chris Walker,35,365,52,370,69,245,112,148,8,239,124,11:33,centraleast,m
Vincent Buttitta,36,370,36,386,32,262,176,145,119,198,7,09:34,centraleast,m
John Fortune,37,371,26,390,135,203,97,149,65,204,48,10:46,centraleast,m
Jesse Mascoe,38,376,39,381,161,200,24,155,73,203,79,11:06,centraleast,m
John Lytle,39,379,61,367,95,238,90,149,53,209,80,11:07,centraleast,m
Gary Hinton,40,388,67,364,64,246,6,163,129,197,122,11:32,centraleast,m
Tate Rivera,41,390,130,355,18,269,14,159,188,196,40,10:27,centraleast,m
Brian Rottinghaus,42,392,52,370,52,254,116,148,89,200,83,11:08,centraleast,m
Brett Sepi,43,410,142,354,111,206,93,149,36,215,28,10:18,centraleast,m
Andrew Charlesworth,43,410,51,371,105,232,29,154,135,197,90,11:14,centraleast,m
Joseph Tortora,45,412,177,351,37,259,52,151,79,201,67,10:59,centraleast,m
Craig Charton,46,415,243,347,18,269,11,161,30,219,113,11:27,centraleast,m
Joshua Belville,47,426,19,392,108,207,58,151,40,214,201,12:07,centraleast,m
Kirk Bacsu,48,433,9,399,108,207,156,146,107,199,53,10:51,centraleast,m
Jonathan Wolf,48,433,78,360,117,205,73,150,104,199,61,10:56,centraleast,m
Travis Page,50,434,57,369,23,268,257,143,47,211,50,10:49,centraleast,m
Andy Angelo,51,439,69,363,155,201,170,145,35,215,10,09:49,centraleast,m
Evan Beach,52,460,48,372,100,236,135,147,21,223,156,11:50,centraleast,m
Caleb Gregory,53,485,11,397,135,203,218,144,64,205,57,10:55,centraleast,m
Thomas Cox,54,502,26,390,86,240,83,150,112,199,195,12:05,centraleast,m
Shawn Stauffer,55,516,39,381,161,200,47,152,85,200,184,12:00,centraleast,m
Adam Rogers,56,523,130,355,135,203,70,150,102,199,86,11:11,centraleast,m
Joe Garnes,57,543,78,360,64,246,236,144,69,204,96,11:17,centraleast,m
Peter Brasovan,58,546,130,355,171,199,96,149,59,207,90,11:14,centraleast,m
Austin Moncivaez,59,560,101,358,16,272,310,142,61,205,72,11:04,centraleast,m
Matt Scheffer,60,589,209,349,71,244,178,145,51,210,80,11:07,centraleast,m
