Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Jakob Magnusson,1,81,3,406,9,278,22,155,24,234,23,10:03,europe,m
Björgvin Karl Guðmundsson,2,92,44,390,2,338,24,154,3,251,19,09:57,europe,m
Lukas Högberg,3,99,32,392,20,270,28,154,6,250,13,09:47,europe,m
Jonne Koski,4,102,2,414,7,324,53,151,19,237,21,10:00,europe,m
Sigurður Þrastarson,5,105,1,417,25,268,27,154,31,229,21,10:00,europe,m
Jordan Wallace,6,112,20,396,8,323,59,151,23,234,2,09:16,europe,m
Frederik Aegidius,7,118,4,405,23,269,76,149,5,250,10,09:38,europe,m
Frosti Gylfason,8,128,11,402,19,272,9,160,57,220,32,10:10,europe,m
Stefano Migliorini,9,131,12,401,34,263,23,154,27,230,35,10:11,europe,m
Antony Monks,10,135,17,397,65,255,10,160,13,242,30,10:09,europe,m
Numi Katrinarson,11,138,87,370,1,350,33,153,9,245,8,09:31,europe,m
Lacee Kovacs,12,162,111,360,2,338,40,152,4,251,5,09:24,europe,m
Andy Edwards,13,167,17,397,37,262,41,152,69,213,3,09:18,europe,m
Lukas Esslinger,14,176,20,396,32,264,74,149,12,244,38,10:13,europe,m
Matt Rodwell,15,193,16,398,13,274,19,156,51,221,94,10:56,europe,m
Christer Idland,15,193,20,396,32,264,75,149,25,233,41,10:18,europe,m
Robert Manlove,17,211,44,390,13,274,86,149,17,239,51,10:24,europe,m
Gregor Schregle,18,212,8,403,37,262,21,156,22,235,124,11:10,europe,m
Jonas Mueller,19,267,8,403,6,329,237,144,15,241,1,09:13,europe,m
Alexandre Jolivet,20,279,13,399,109,234,2,175,96,207,59,10:30,europe,m
Philip Bengtsson,21,283,111,360,18,273,11,160,46,222,97,10:58,europe,m
Riccardo Donati,22,315,4,405,12,276,273,143,14,241,12,09:41,europe,m
Liam Hogan,23,351,64,384,192,200,16,158,47,221,32,10:10,europe,m
Mitchell Adams,23,351,111,360,37,262,150,146,26,232,27,10:06,europe,m
Laurent CAMPS,25,352,32,392,37,262,193,145,67,214,23,10:03,europe,m
Sam Henderson,26,354,20,396,37,262,3,173,223,197,71,10:38,europe,m
David Carlsson,27,357,25,395,115,207,12,160,60,216,145,11:19,europe,m
Alec Harwood,28,360,67,380,25,268,116,147,40,224,112,11:05,europe,m
Will Kane,29,363,25,395,4,334,317,142,2,253,15,09:54,europe,m
Lee Howe,30,377,59,387,78,249,54,151,91,208,95,10:57,europe,m
Davide Marini,31,387,13,399,246,196,92,148,29,230,7,09:30,europe,m
Viktor Långsved,32,399,25,395,57,257,238,144,42,224,37,10:12,europe,m
Bartlomiej Lipka,33,401,44,390,37,262,144,146,116,203,60,10:32,europe,m
Arnar Sigurðsson,34,405,39,391,9,278,219,144,62,216,76,10:47,europe,m
David Shorunke,35,414,103,363,62,256,205,145,16,240,28,10:07,europe,m
Marc Ordeig,36,416,184,354,4,334,216,144,1,260,11,09:39,europe,m
Casper Gammelmark,37,430,98,364,73,251,134,147,122,202,3,09:18,europe,m
Elliot Simmonds,37,430,111,360,127,206,93,148,64,215,35,10:11,europe,m
John Reid,39,433,203,353,89,244,13,159,20,236,108,11:04,europe,m
Eiríkur Baldursson,40,436,136,358,34,263,155,146,8,245,103,11:00,europe,m
Mareck Bigler,41,447,32,392,13,274,327,142,21,235,54,10:27,europe,m
Steven Fawcett,42,448,136,358,28,267,260,143,18,238,6,09:27,europe,m
Benjamin Massey,43,450,107,361,57,257,115,147,139,200,32,10:10,europe,m
Tom Burnell,44,452,44,390,130,205,73,149,161,199,44,10:20,europe,m
Filip Yang Fisker,45,453,67,380,103,238,97,148,136,200,50,10:23,europe,m
Rob Martin,46,461,303,348,23,269,29,154,35,228,71,10:38,europe,m
Mads Rasmussen,47,474,105,362,20,270,278,143,11,245,60,10:32,europe,m
Samuel Gallego,48,476,252,350,13,274,71,149,52,220,88,10:53,europe,m
Richard Vanmeerbeek,49,480,73,377,98,241,31,153,105,206,173,11:29,europe,m
Christophe Besnard,50,486,98,364,62,256,61,151,247,197,18,09:56,europe,m
florent paillasson,51,490,39,391,192,200,17,157,228,197,14,09:48,europe,m
Joakim Ro-Poulsen,52,491,44,390,153,203,41,152,70,213,183,11:32,europe,m
Anders Gronsund,53,508,111,360,11,277,307,142,59,217,20,09:59,europe,m
Adam Shackell,53,508,32,392,89,244,56,151,30,229,301,11:56,europe,m
Scott Jenkins,53,508,111,360,78,249,34,153,129,201,156,11:23,europe,m
Malte Rommedahl,56,533,57,389,57,257,231,144,142,200,46,10:22,europe,m
Barry McDermott,57,554,105,362,115,207,193,145,28,230,113,11:06,europe,m
Anže Benko,58,559,111,360,37,262,292,143,39,224,80,10:49,europe,m
Dan Forster,59,578,98,364,94,242,178,145,123,202,85,10:51,europe,m
Karl Thorpe,60,582,215,352,31,265,94,148,188,199,54,10:27,europe,m
