Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Leonidas Jenkins,1,40,2,396,3,265,23,144,1,228,11,11:10,latinamerica,m
Orlando Trejo,2,50,21,354,6,259,19,146,3,215,1,09:45,latinamerica,m
Mark Desin,3,93,10,359,49,197,10,149,4,213,20,11:31,latinamerica,m
Tarcio Santos Ferreira,4,106,5,386,8,257,71,139,13,198,9,11:00,latinamerica,m
Joaquin Jadue,5,136,11,358,32,200,9,150,2,218,82,12:40,latinamerica,m
Alan Garcia,6,141,32,351,22,205,40,141,38,195,9,11:00,latinamerica,m
Moises Sevilla,7,156,4,391,41,198,4,153,84,192,23,11:32,latinamerica,m
Joel Bran,8,157,14,356,109,184,1,159,25,196,8,10:58,latinamerica,m
Titus Thut,9,158,38,350,5,260,52,140,26,196,37,12:01,latinamerica,m
Emanuel Aponte,10,165,75,342,40,199,29,143,9,199,12,11:16,latinamerica,m
Batuque Iribarren,11,178,100,334,41,198,14,147,10,198,13,11:17,latinamerica,m
Conor Murphy,12,191,44,348,11,245,100,138,20,197,16,11:24,latinamerica,m
Rodrigo Valenzuela,13,194,79,341,9,250,59,140,43,195,4,10:32,latinamerica,m
Emmanuel Maldonado,14,211,114,326,27,202,25,144,27,196,18,11:27,latinamerica,m
Stefano Orsini,15,241,120,324,27,202,43,141,21,197,30,11:47,latinamerica,m
Trevor Amodeo,16,249,143,315,18,229,45,141,23,197,20,11:31,latinamerica,m
Francisco Javier,17,271,120,324,64,193,37,142,5,212,45,12:13,latinamerica,m
Cassiano Lessing,18,272,13,357,87,189,5,153,111,190,56,12:21,latinamerica,m
Francis Torres,19,273,103,331,61,194,57,140,19,197,33,11:58,latinamerica,m
Fernando Villafaña,20,286,17,355,10,249,140,136,59,193,60,12:23,latinamerica,m
Marco Ramirez,21,293,27,352,165,175,38,142,6,208,57,12:22,latinamerica,m
Luis Giraldo,22,294,58,345,13,241,35,142,73,193,115,12:58,latinamerica,m
Juan Cruz Sartori,23,295,58,345,22,205,183,135,27,196,5,10:53,latinamerica,m
Evan Yoak,23,295,6,370,116,183,16,146,15,198,142,13:16,latinamerica,m
Kevin Vega,25,316,11,358,58,195,15,147,17,198,215,13:51,latinamerica,m
Bruno Santos Feitosa,26,332,17,355,53,196,74,139,169,188,19,11:30,latinamerica,m
Javier Hidalgo,27,340,17,355,144,177,26,144,18,198,135,13:14,latinamerica,m
Alfredo Escobar,28,342,92,335,12,243,222,134,13,198,3,10:30,latinamerica,m
William Rivera landron,29,352,143,315,144,177,3,155,37,195,25,11:35,latinamerica,m
Luis Vildosola,30,363,38,350,241,142,8,150,51,194,25,11:35,latinamerica,m
anderon primo,31,383,7,368,41,198,96,138,101,191,138,13:15,latinamerica,m
Enrique Torano,32,398,58,345,228,143,31,143,48,194,33,11:58,latinamerica,m
Artur Machado,33,400,49,347,27,202,84,139,185,188,55,12:20,latinamerica,m
Zathan Simpson,34,408,75,342,147,176,139,136,12,198,35,11:59,latinamerica,m
Martin Robledo,34,408,140,316,32,200,151,136,46,195,39,12:05,latinamerica,m
Giancarlo Vera Ochoa,36,414,103,331,53,196,88,138,150,189,20,11:31,latinamerica,m
Tiago Lopes,37,442,128,320,104,185,90,138,32,196,88,12:42,latinamerica,m
Carlos Lopez,38,444,169,314,116,183,27,143,40,195,92,12:45,latinamerica,m
Douglas Oberbeck,39,451,44,348,82,190,163,136,8,200,154,13:24,latinamerica,m
Luis Emilio Barcia Ubillus,40,452,191,312,49,197,49,141,106,191,57,12:22,latinamerica,m
Alvaro Lopez,41,454,49,347,6,259,323,131,31,196,45,12:13,latinamerica,m
Luiz Mello,42,459,87,337,68,192,63,140,63,193,178,13:33,latinamerica,m
Pepe Alvarez,43,465,80,340,61,194,277,132,42,195,5,10:53,latinamerica,m
Jovaldo Miranda Valdivia,44,474,140,316,135,179,113,137,47,194,39,12:05,latinamerica,m
Johnny Chong Pico,45,497,103,331,32,200,168,135,86,192,108,12:55,latinamerica,m
Casey Wylie,46,500,89,336,32,200,131,137,91,192,157,13:25,latinamerica,m
Augusto Castro,47,513,58,345,17,232,32,143,21,197,385,14:52,latinamerica,m
Keith Kandetzke,48,515,169,314,116,183,20,146,41,195,169,13:29,latinamerica,m
Lucas Rosa,49,522,49,347,259,141,110,137,7,207,97,12:47,latinamerica,m
Javier Meza,50,532,32,351,116,183,166,135,167,188,51,12:16,latinamerica,m
Dennis Kok,51,533,43,349,128,180,27,143,112,190,223,13:59,latinamerica,m
Esteban Burgos,52,546,27,352,79,191,52,140,372,184,16,11:24,latinamerica,m
jose escudero,53,556,312,306,53,196,71,139,113,190,7,10:57,latinamerica,m
Claudio Poblete,53,556,131,319,41,198,119,137,175,188,90,12:43,latinamerica,m
Andres Lee,55,563,87,337,68,192,204,134,126,190,78,12:36,latinamerica,m
Evaristo Cortes,56,581,55,346,368,136,22,145,44,195,92,12:45,latinamerica,m
Sebastian Stange,57,585,8,360,147,176,149,136,65,193,216,13:53,latinamerica,m
Daniel Martínez massa,57,585,143,315,87,189,103,138,16,198,236,14:02,latinamerica,m
Jonathan Noreña,57,585,131,319,147,176,64,140,54,194,189,13:38,latinamerica,m
Agustin Garavaglia,60,618,58,345,241,142,33,143,223,187,63,12:25,latinamerica,m
