Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Jason Khalipa,1,8,1,442,3,339,1,176,2,253,1,09:05,northerncalifornia,m
Neal Maddox,2,22,4,401,6,323,6,158,3,251,3,09:30,northerncalifornia,m
Marcus Filly,3,37,25,392,1,350,8,157,1,260,2,09:27,northerncalifornia,m
Garret Fisher,4,76,20,393,12,275,2,175,7,241,35,10:24,northerncalifornia,m
Lorin Adams,5,83,3,403,23,265,40,150,6,242,11,09:47,northerncalifornia,m
Chad Augustin,6,93,32,390,20,268,28,153,9,235,4,09:32,northerncalifornia,m
Wes Piatt,7,101,9,398,13,274,13,155,14,229,52,10:43,northerncalifornia,m
Pat Barber,8,105,4,401,46,255,27,153,12,231,16,09:58,northerncalifornia,m
Adam Jamieson,9,108,13,396,23,265,3,163,49,206,20,10:00,northerncalifornia,m
Blair Morrison,10,113,41,384,17,269,20,154,29,217,6,09:33,northerncalifornia,m
Ryan Hignell,11,130,13,396,5,325,74,146,15,228,23,10:09,northerncalifornia,m
Jamie Lee,12,131,8,399,46,255,19,154,19,225,39,10:29,northerncalifornia,m
Spenser Scott,13,133,36,388,2,341,83,146,5,244,7,09:40,northerncalifornia,m
Ben Wise,14,135,49,378,25,264,17,154,28,217,16,09:58,northerncalifornia,m
Gabe Subry,15,137,18,394,21,267,62,148,8,238,28,10:12,northerncalifornia,m
Jonathan Jorgensen,16,148,43,383,16,270,9,157,37,212,43,10:31,northerncalifornia,m
Daniel Felling,17,152,12,397,34,261,54,148,4,249,48,10:35,northerncalifornia,m
Will Zerlang,18,171,15,395,4,336,70,147,74,199,8,09:42,northerncalifornia,m
Nick Zambruno,19,176,25,392,44,256,11,156,11,234,85,11:06,northerncalifornia,m
Tyler Wilcox,20,179,91,357,10,278,39,150,21,224,18,09:59,northerncalifornia,m
Colin Cunningham,21,205,15,395,39,259,81,146,38,212,32,10:21,northerncalifornia,m
Anthony Malta,22,216,138,352,7,320,25,153,16,227,30,10:20,northerncalifornia,m
Dusty Sulon,23,218,20,393,58,249,31,152,27,217,82,11:02,northerncalifornia,m
Devon Simmons,24,241,15,395,8,309,137,144,59,202,22,10:06,northerncalifornia,m
Nick Pappas,24,241,32,390,9,304,140,144,17,226,43,10:31,northerncalifornia,m
Ben Alderman,26,243,18,394,59,247,94,146,30,216,42,10:30,northerncalifornia,m
Corey Schmidt,27,247,20,393,146,197,16,155,26,218,39,10:29,northerncalifornia,m
Johnny Medina III,28,252,62,362,53,251,78,146,50,206,9,09:44,northerncalifornia,m
Denny Wilson,29,257,126,353,17,269,69,147,32,215,13,09:52,northerncalifornia,m
CHRIS EAGEN,30,262,64,361,28,262,43,150,45,207,82,11:02,northerncalifornia,m
Buddy Hitchcock,31,298,62,362,14,272,178,143,18,225,26,10:11,northerncalifornia,m
Mauricio Leal,32,301,39,385,36,260,122,145,25,218,79,11:00,northerncalifornia,m
Chris Michelmore,33,322,4,401,99,205,73,146,13,231,133,11:36,northerncalifornia,m
Travis McRoberts,34,337,7,400,90,207,24,153,173,194,43,10:31,northerncalifornia,m
PJ Rubel,35,338,91,357,69,242,29,152,64,200,85,11:06,northerncalifornia,m
Alex Oberman,36,342,138,352,28,262,101,145,57,203,18,09:59,northerncalifornia,m
Corey Matson,37,351,43,383,75,240,22,153,182,194,29,10:14,northerncalifornia,m
Ruben Torres,37,351,68,360,46,255,67,147,40,211,130,11:33,northerncalifornia,m
Mike Kluegel,39,356,9,398,28,262,142,144,128,196,49,10:36,northerncalifornia,m
Cary Hair,40,365,54,368,28,262,46,149,106,197,131,11:34,northerncalifornia,m
Trent Simmons,41,376,119,354,117,202,14,155,62,200,64,10:51,northerncalifornia,m
Gadiel Escobedo,42,378,68,360,111,203,85,146,68,200,46,10:32,northerncalifornia,m
David Ivanov,43,382,50,375,106,204,138,144,31,216,57,10:47,northerncalifornia,m
Luis Roque,44,391,28,391,233,189,12,155,45,207,73,10:57,northerncalifornia,m
Ash Havens,45,402,28,391,146,197,107,145,85,198,36,10:26,northerncalifornia,m
Mike Morales,46,407,102,356,146,197,35,151,70,199,54,10:45,northerncalifornia,m
Chris Beery,47,420,53,373,99,205,77,146,130,196,61,10:49,northerncalifornia,m
Adam Kubo,48,425,56,367,146,197,56,148,62,200,105,11:20,northerncalifornia,m
Robert Gray,49,432,32,390,189,193,61,148,104,197,46,10:32,northerncalifornia,m
David Richman,50,445,46,381,81,238,225,141,20,224,73,10:57,northerncalifornia,m
Kenny Nugent,51,446,37,387,106,204,57,148,77,199,169,11:54,northerncalifornia,m
Jake Neubauer,52,476,150,351,41,257,105,145,150,195,30,10:20,northerncalifornia,m
Mark Pfeifer,53,479,28,391,55,250,316,139,42,210,38,10:28,northerncalifornia,m
Nick Lucchesi,54,484,57,366,181,194,21,154,39,212,186,12:04,northerncalifornia,m
Atsushi Yoshinaga,55,493,227,345,81,238,49,149,69,200,67,10:55,northerncalifornia,m
Brian Dean,56,495,79,359,111,203,72,147,76,199,157,11:49,northerncalifornia,m
Dylan MacRae,57,514,126,353,63,244,194,142,51,206,80,11:01,northerncalifornia,m
Brian Huberty,58,525,119,354,28,262,182,143,80,199,116,11:27,northerncalifornia,m
James Kusama,59,527,57,366,203,192,64,147,126,196,77,10:58,northerncalifornia,m
Rich Korth,60,534,168,350,44,256,162,143,103,197,57,10:47,northerncalifornia,m
