Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Rika Diedericks,1,18,2,358,11,127,1,163,1,187,3,12:06,africa,f
Nicole Seymour,2,26,7,314,2,142,12,142,4,183,1,11:51,africa,f
Mary Jamieson,3,27,4,335,5,136,5,149,11,182,2,11:53,africa,f
Lara Erlank,4,33,6,315,5,136,15,140,2,187,5,12:27,africa,f
Janine Prinsloo,5,72,33,269,9,130,4,152,6,183,20,14:20,africa,f
Dina Swift,6,78,3,349,50,81,3,152,17,180,5,12:27,africa,f
Holly Myers,7,98,43,266,1,171,7,147,13,181,34,15:02,africa,f
Anishce Venter,8,103,1,359,50,81,25,136,18,180,9,13:43,africa,f
Cindy Ellis,8,103,43,266,7,131,23,137,12,182,18,14:15,africa,f
Tasquane Hufkie,8,103,17,304,38,83,10,143,15,181,23,14:25,africa,f
Janine Penniall,11,107,17,304,13,123,29,135,3,184,45,15:33,africa,f
Wilna Appel,12,115,26,280,3,137,21,137,7,183,58,16:03,africa,f
Chantal Kruger,13,119,21,301,38,83,13,142,16,180,31,14:52,africa,f
Lariska de Bruyn,14,126,5,330,10,128,14,140,27,180,70,16:33,africa,f
Sibyl Cooke,14,126,28,275,25,114,19,138,37,179,17,14:10,africa,f
Natalie Mohr,16,140,17,304,38,83,16,139,22,180,47,15:36,africa,f
Celestie Engelbrecht,17,142,33,269,3,137,9,144,37,179,60,16:07,africa,f
Suzie Assenmacher,18,144,38,268,30,86,55,130,9,183,12,13:52,africa,f
Kelly Fisher,19,145,9,310,55,79,18,138,48,175,15,14:02,africa,f
Estevan Strauss,20,146,12,308,33,85,30,135,26,180,45,15:33,africa,f
Kerin Schwartz,21,155,9,310,19,119,38,133,71,169,18,14:15,africa,f
Toni Siwela,22,162,60,261,38,83,17,139,34,180,13,13:57,africa,f
Annelize Raath,23,168,56,262,17,121,8,145,19,180,68,16:32,africa,f
Justine Phillips,24,174,33,269,27,110,65,126,33,180,16,14:05,africa,f
Zandri Potgieter,25,175,45,265,11,127,61,129,10,183,48,15:37,africa,f
Heike Kotze,26,184,64,260,19,119,40,133,20,180,41,15:26,africa,f
Susan Claassen,27,194,22,296,21,116,89,117,35,180,27,14:39,africa,f
Lindsay Duvenage,28,195,16,305,92,63,21,137,37,179,29,14:40,africa,f
Lientjie Saaiman,29,203,41,267,30,86,97,114,25,180,10,13:51,africa,f
Beatrix Large,30,204,20,302,59,78,2,155,8,183,115,18:27,africa,f
Odette Calitz,31,209,38,268,38,83,109,111,14,181,10,13:51,africa,f
nicole scott,32,210,38,268,47,82,34,134,57,173,34,15:02,africa,f
Twani Smith,33,220,70,257,18,120,80,121,28,180,24,14:28,africa,f
Eva Thornton,34,223,30,270,7,131,85,118,29,180,72,16:37,africa,f
Ellie Hagopian,35,241,131,215,33,85,32,135,31,180,14,14:00,africa,f
Vicky Polydorou,36,247,12,308,118,39,53,130,60,172,4,12:25,africa,f
Charlotte van der haer,37,251,68,259,59,78,26,136,57,173,41,15:26,africa,f
Anneke De Beer,38,256,27,276,13,123,145,108,44,177,27,14:39,africa,f
Chrizelda Horn,39,262,54,263,50,81,31,135,48,175,79,16:47,africa,f
Kelly Geyer,40,264,53,264,62,77,75,122,48,175,26,14:37,africa,f
Diane Hope,41,270,60,261,65,76,36,134,54,174,55,15:59,africa,f
Lane Grobbelaar,42,273,9,310,75,68,71,123,79,164,39,15:20,africa,f
Natasha King,43,284,45,265,36,84,152,106,43,178,8,13:24,africa,f
Yolandie Dixon,44,286,30,270,38,83,58,130,72,168,88,17:07,africa,f
Gina Goosen,45,292,23,292,92,63,35,134,60,172,82,16:56,africa,f
Kirsten Burgess,46,305,88,237,70,73,56,130,48,175,43,15:27,africa,f
Izelle Le Roux,47,306,74,255,136,37,24,137,23,180,49,15:40,africa,f
Michelle Louw,47,306,45,265,38,83,99,113,37,179,87,17:06,africa,f
Charnè Smyth,49,308,56,262,47,82,94,115,54,174,57,16:01,africa,f
Elzke de Goede,50,310,64,260,50,81,37,134,115,156,44,15:28,africa,f
Jane Van der Merwe,51,318,68,259,21,116,66,125,79,164,84,17:02,africa,f
Anmarie van der Walt,52,329,33,269,68,74,98,113,67,170,63,16:24,africa,f
Kirsty-Jane Elliott,53,332,93,232,65,76,63,128,47,176,64,16:25,africa,f
Sherilee Strauss,54,339,77,254,47,82,45,131,84,162,86,17:04,africa,f
Tamarr Schroeder,55,350,72,256,28,87,47,131,65,171,138,19:22,africa,f
Johanni Hugo,56,351,33,269,16,122,194,102,32,180,76,16:45,africa,f
Jancke Rentel,57,356,45,265,99,61,100,113,73,165,39,15:20,africa,f
Flavia Busacker,58,364,56,262,55,79,112,111,109,157,32,14:58,africa,f
Jeanine Knipe,59,380,129,216,130,38,11,143,73,165,37,15:17,africa,f
Josie De Rose,60,383,139,214,24,115,122,110,44,177,54,15:55,africa,f
