Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Tanner Shuck,1,22,4,390,1,269,2,167,4,231,11,10:26,asia,m
Mikko Aronpää,2,25,6,376,5,266,7,152,6,218,1,09:37,asia,m
Eric Carmody,3,28,16,357,6,262,3,165,1,240,2,09:52,asia,m
Ben Thompson,4,30,3,391,10,253,1,175,2,233,14,10:38,asia,m
Michael Mogard,5,51,1,396,1,269,38,143,3,232,8,10:18,asia,m
YooSik Kim,6,121,36,350,10,253,33,144,22,197,20,10:59,asia,m
Phil Hesketh,7,124,27,352,25,200,29,145,5,221,38,11:34,asia,m
Ant Haynes,8,132,19,355,54,192,34,144,8,208,17,10:48,asia,m
Eric Sweet,9,133,88,328,4,268,20,146,12,200,9,10:21,asia,m
Subok Lee,10,136,12,360,27,199,48,141,30,196,19,10:58,asia,m
Albert Holguin,11,148,67,344,22,202,16,147,40,195,3,09:55,asia,m
Israel Shamli,12,150,10,363,20,205,22,146,43,195,55,11:56,asia,m
Henrik Olofsson,13,170,59,345,45,193,12,149,28,196,26,11:07,asia,m
Marcus Smith,14,198,23,354,110,178,4,162,38,195,23,11:01,asia,m
Cho dae hee,15,206,5,377,8,256,98,136,85,191,10,10:23,asia,m
baek min jong,16,212,36,350,79,186,10,150,59,193,28,11:13,asia,m
Austin Hiracheta,17,213,14,358,1,269,71,139,75,192,52,11:52,asia,m
Jono Whitehead,18,232,71,341,54,192,59,140,18,198,30,11:22,asia,m
Jordan Reiley,19,236,27,352,29,198,54,141,81,192,45,11:45,asia,m
Taylor Rank,20,241,13,359,13,244,120,136,16,199,79,12:15,asia,m
Joseph Mozzi,21,251,34,351,45,193,14,148,67,192,91,12:26,asia,m
Utku Tuncer,22,255,27,352,38,196,69,139,25,197,96,12:37,asia,m
Young-Jun Kim,23,257,41,349,16,207,145,134,49,194,6,10:17,asia,m
PARK Hyoung-Jae,24,261,19,355,61,191,72,139,58,193,51,11:51,asia,m
AbdulRahman Bin Ghobash,25,266,41,349,118,176,51,141,29,196,27,11:10,asia,m
Marwan Al-Marri,26,273,9,364,54,192,159,134,27,197,24,11:04,asia,m
Young Hoon Choi,26,273,117,315,54,192,52,141,10,202,40,11:39,asia,m
Yeojoon choi,28,280,19,355,29,198,153,134,42,195,37,11:32,asia,m
Ed Haynes,29,283,78,334,88,185,81,138,15,199,21,11:00,asia,m
ates boran,30,290,59,345,12,247,128,135,9,204,82,12:19,asia,m
Ron Harvey,31,305,98,324,32,197,15,148,89,191,71,12:10,asia,m
Timmy Jacobsson,32,313,225,306,32,197,9,150,32,196,15,10:42,asia,m
Rashed Almulla,33,319,17,356,133,173,65,139,52,194,52,11:52,asia,m
Gwan Yoon,34,321,10,363,69,190,77,138,159,187,6,10:17,asia,m
Youngmin Kang,35,328,23,354,9,254,82,138,211,185,3,09:55,asia,m
sungwook yoo,36,330,48,347,18,206,200,132,24,197,40,11:39,asia,m
Ryan Bayliss,37,332,6,376,168,141,28,145,57,193,73,12:11,asia,m
cho jae chul,38,336,72,340,42,194,102,136,45,195,75,12:13,asia,m
Henrik Gjeruldsen,39,337,59,345,110,178,24,146,131,188,13,10:35,asia,m
Ram Dover,40,339,19,355,32,197,88,138,48,194,152,13:20,asia,m
Luke Holmes,41,355,53,346,14,236,256,130,14,200,18,10:57,asia,m
Shingo Moromasa,42,357,110,318,91,184,70,139,12,200,74,12:12,asia,m
John Britton,43,366,27,352,88,185,35,143,21,197,195,13:47,asia,m
Yong Jun Lee,44,368,59,345,32,197,132,135,36,195,109,12:46,asia,m
Neil Seip,45,389,110,318,18,206,92,137,105,190,64,12:02,asia,m
zohar lipkin,45,389,194,308,45,193,39,143,50,194,61,11:59,asia,m
Ivan Marjanovic,47,392,136,314,158,142,41,142,11,200,46,11:47,asia,m
Clay Braden,48,394,88,328,25,200,150,134,17,199,114,12:49,asia,m
Sul Min Choi,49,396,48,347,22,202,222,131,72,192,32,11:26,asia,m
Joon Hwan Heo,50,399,53,346,22,202,196,132,79,192,49,11:48,asia,m
Jason Duckett,51,403,178,309,45,193,80,138,33,196,67,12:08,asia,m
William Sullivan,52,410,8,370,136,172,100,136,76,192,90,12:24,asia,m
Sumin Kim,52,410,93,327,38,196,83,138,86,191,110,12:48,asia,m
Saud Alshamsi,52,410,103,321,114,177,47,141,76,192,70,12:09,asia,m
Charlie Orantes,55,415,194,308,70,188,57,140,61,193,33,11:28,asia,m
David ben David,56,428,145,312,38,196,110,136,93,191,42,11:44,asia,m
BEN DAVIES,57,433,23,354,271,132,21,146,41,195,77,12:14,asia,m
moshiko grif,58,477,158,311,32,197,64,139,78,192,145,13:14,asia,m
Naoya Arasaki,59,485,178,309,45,193,147,134,23,197,92,12:31,asia,m
Myung Sik kwak,59,485,84,329,118,176,84,138,97,191,102,12:41,asia,m
