Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Camille Leblanc-Bazinet,1,14,2,427,1,404,9,168,1,205,1,08:54,canadaeast,f
Kristine Andali,2,36,12,374,5,266,7,170,10,193,2,09:00,canadaeast,f
Michele Letendre,3,45,1,431,3,333,36,153,2,200,3,09:13,canadaeast,f
Marie-Emilie Perreault,4,63,18,371,11,206,14,159,13,192,7,09:52,canadaeast,f
Britney Holmberg,5,88,32,357,18,199,20,155,9,193,9,10:01,canadaeast,f
Joannie Lebrun,6,113,38,354,36,191,5,175,25,190,9,10:01,canadaeast,f
Shanna Dawley,7,118,5,396,23,196,12,160,5,194,73,11:36,canadaeast,f
Kendra Cross,8,127,22,362,20,197,19,155,17,190,49,11:13,canadaeast,f
Carolyne Prevost,9,136,15,372,58,176,4,176,53,186,6,09:50,canadaeast,f
Maude Charron,10,137,28,358,6,262,62,148,6,194,35,11:00,canadaeast,f
Ericka Letendre,11,144,23,361,13,205,88,145,16,191,4,09:38,canadaeast,f
Elma Ducic,12,148,7,390,55,180,8,170,70,185,8,09:57,canadaeast,f
Lisa Cybulskie,13,152,45,353,43,186,13,159,34,188,17,10:27,canadaeast,f
Jenine Andali,14,156,7,390,30,194,69,147,24,190,26,10:35,canadaeast,f
Raquel Rodriguez,15,165,20,370,62,175,38,152,31,188,14,10:17,canadaeast,f
Julie Villeneuve,16,166,12,374,48,184,24,154,36,187,46,11:10,canadaeast,f
Alexandra Bergeron,17,172,28,358,8,252,114,143,4,195,18,10:28,canadaeast,f
Julie Nadeau,18,180,38,354,33,192,71,147,33,188,5,09:45,canadaeast,f
Nathalie Connors,19,190,4,403,92,138,23,154,37,187,34,10:50,canadaeast,f
Jenn Lymburner,20,198,28,358,15,204,112,143,14,192,29,10:41,canadaeast,f
Annie-Pier Côté,21,205,24,360,75,141,29,153,62,186,15,10:22,canadaeast,f
Karine Shrum,22,211,47,352,82,140,3,181,39,187,40,11:06,canadaeast,f
Perry Hanlon,23,213,38,354,72,142,40,152,44,187,19,10:29,canadaeast,f
Carol-Ann Reason-Thibault,24,217,6,395,105,137,6,175,69,185,31,10:43,canadaeast,f
Ashley Werner,25,222,47,352,50,182,26,154,19,190,80,11:42,canadaeast,f
Laura Hosier,26,230,3,412,33,192,2,181,151,181,41,11:07,canadaeast,f
Marie Laurence Leclair,27,232,7,390,92,138,49,150,71,185,13,10:16,canadaeast,f
Renee Martin,28,234,110,333,15,204,31,153,12,192,66,11:31,canadaeast,f
Jasmine Sheehan,28,234,38,354,69,143,17,156,50,187,60,11:28,canadaeast,f
Jennifer Broxterman,30,237,64,349,38,188,51,150,29,189,55,11:18,canadaeast,f
Christine Kluge,31,242,76,347,58,176,11,160,58,186,39,11:04,canadaeast,f
Stephanie Roy,32,251,79,346,25,195,86,145,8,193,53,11:16,canadaeast,f
AmÃ©lie Gagnon,33,257,12,374,140,133,41,152,48,187,16,10:25,canadaeast,f
Elspeth McKay,34,258,27,359,11,206,101,144,72,185,47,11:12,canadaeast,f
Marie-Eve Pilotte,35,265,24,360,105,137,15,156,32,188,89,11:51,canadaeast,f
Andi Sadowski,35,265,47,352,82,140,80,146,15,191,41,11:07,canadaeast,f
Jamie Collins,37,266,38,354,92,138,30,153,54,186,52,11:15,canadaeast,f
Holly Ada McIlroy,38,276,21,364,72,142,67,148,81,185,35,11:00,canadaeast,f
Emmanuelle Blais,39,277,125,321,43,186,22,154,66,186,21,10:30,canadaeast,f
Lacey Van Der Marel,40,291,79,346,4,269,117,143,3,196,88,11:50,canadaeast,f
Leann Lapp,41,304,95,342,20,197,148,141,11,192,30,10:42,canadaeast,f
Kathleen Laperle,42,309,64,349,52,181,70,147,38,187,85,11:46,canadaeast,f
Annie-Pier Ricard,43,310,18,371,92,138,64,148,68,185,68,11:32,canadaeast,f
Abigail Guerrero,44,315,176,311,2,335,27,153,99,183,11,10:08,canadaeast,f
Marie-Eve Castonguay,45,322,169,312,30,194,33,153,28,189,62,11:29,canadaeast,f
Fanny Girard,46,323,110,333,25,195,55,149,22,190,111,12:14,canadaeast,f
Rachael DeYoung,47,329,34,355,36,191,84,146,55,186,120,12:25,canadaeast,f
Marie-pier Pouliot veilleux,48,333,125,321,45,185,43,152,73,185,47,11:12,canadaeast,f
Isabelle Tardif,49,343,15,372,10,237,179,140,7,194,132,12:34,canadaeast,f
Pamela Evans,50,344,11,377,140,133,52,150,75,185,66,11:31,canadaeast,f
Pam Anstey,51,350,58,350,69,143,117,143,94,184,12,10:14,canadaeast,f
Kristine Hatfield,52,363,52,351,57,177,98,144,83,185,73,11:36,canadaeast,f
Mirakim Couvrette,53,367,45,353,9,245,154,141,60,186,99,12:00,canadaeast,f
Jeanne Robitaille,54,369,52,351,92,138,146,141,47,187,32,10:45,canadaeast,f
Emilie Pfeiffer-Badoux,55,390,101,337,62,175,78,146,42,187,107,12:10,canadaeast,f
Jessica Cote-Beaudoin,56,393,99,339,7,260,138,142,26,190,123,12:28,canadaeast,f
Frédérique Bordeleau,57,398,58,350,92,138,111,143,20,190,117,12:20,canadaeast,f
Melanie Clarke,58,400,114,329,49,183,32,153,86,185,119,12:23,canadaeast,f
Mylene Arsenault,59,411,47,352,121,135,53,150,153,181,37,11:01,canadaeast,f
Amanda Gaiotti,59,411,135,315,87,139,46,151,40,187,103,12:05,canadaeast,f
