Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Delaina Snider,1,12,2,405,5,198,2,179,1,192,2,10:09,canadawest,f
Jayde Quilty,2,22,7,375,3,199,3,175,3,192,6,10:32,canadawest,f
Jolaine Bloom,3,25,1,436,1,254,20,154,2,192,1,09:43,canadawest,f
Whitney Darchuk,4,41,13,357,2,200,8,163,4,191,14,10:59,canadawest,f
Angie Hay,5,61,7,375,9,192,16,155,21,186,8,10:38,canadawest,f
Bonnie Maclean,6,63,5,382,6,195,10,159,31,184,11,10:43,canadawest,f
Emily Abbott,7,66,4,392,41,135,5,171,11,189,5,10:30,canadawest,f
Quintina Morgan,8,79,21,352,7,193,27,152,20,186,4,10:23,canadawest,f
Alex Parker,9,84,12,358,23,143,41,148,5,191,3,10:22,canadawest,f
Taryn Romanowich,10,99,31,345,17,180,32,151,12,189,7,10:35,canadawest,f
Jenn Webber,11,105,25,350,23,143,21,154,6,191,30,11:56,canadawest,f
Crystal Shoff,12,113,3,395,14,189,24,153,56,182,16,11:21,canadawest,f
Chelsea Miller,13,124,6,379,7,193,87,142,10,189,14,10:59,canadawest,f
Emily Beers,14,127,90,310,3,199,13,157,9,189,12,10:55,canadawest,f
Viki Cirkvencic,14,127,55,317,18,179,14,156,21,186,19,11:33,canadawest,f
Sarah Bustard,16,143,31,345,13,190,17,155,8,190,74,12:51,canadawest,f
Tina Popp,16,143,19,353,34,137,38,149,28,185,24,11:44,canadawest,f
Tara Maddigan,18,163,60,315,41,135,7,163,23,186,32,11:58,canadawest,f
Brittany Brown,19,168,52,322,15,187,6,167,25,185,70,12:47,canadawest,f
Alissa Flynn,20,175,41,334,19,178,1,181,14,187,100,13:17,canadawest,f
Crystal Kirby-Peloquin,21,187,21,352,31,138,9,161,27,185,99,13:16,canadawest,f
Krista Pell,22,199,38,339,31,138,28,152,60,182,42,12:15,canadawest,f
Karolina Pawlak,23,207,77,312,34,137,52,146,16,187,28,11:53,canadawest,f
Deanna Fester,24,209,46,331,74,130,51,146,13,188,25,11:46,canadawest,f
Becky Layton,25,226,9,373,41,135,49,146,114,180,13,10:56,canadawest,f
Katie Nadorozny,26,227,15,355,34,137,70,143,43,183,65,12:40,canadawest,f
Nancy McKeage,27,228,18,354,9,192,118,140,7,191,76,12:53,canadawest,f
Gillian Hicks,28,240,40,335,91,127,12,158,19,186,78,12:58,canadawest,f
Samantha Stevenson-Archer,29,245,25,350,161,86,15,155,35,184,9,10:40,canadawest,f
Erica Livett,30,252,41,334,49,134,33,151,17,187,112,13:26,canadawest,f
Sherri Clark,31,254,60,315,31,138,39,149,76,181,48,12:20,canadawest,f
Caileigh McDade,32,255,15,355,19,178,168,136,36,184,17,11:25,canadawest,f
Christina Verhagen,33,265,50,325,110,123,19,154,64,182,22,11:38,canadawest,f
Nancy Rankel-Allen,34,267,118,306,60,132,45,148,15,187,29,11:54,canadawest,f
Ainslie Kehler,34,267,44,332,52,133,42,148,44,183,85,13:03,canadawest,f
Jessica Tillapaugh,36,268,77,312,49,134,40,149,62,182,40,12:14,canadawest,f
Becky Harrison,37,270,29,347,41,135,113,140,26,185,61,12:36,canadawest,f
Karina nowlan,38,272,24,351,52,133,116,140,37,184,43,12:16,canadawest,f
AJ Facendi,39,288,57,316,25,142,111,140,52,183,43,12:16,canadawest,f
Christine Kopr,40,319,74,313,101,125,84,142,24,186,36,12:06,canadawest,f
Melissa Chatigny,41,322,99,309,34,137,104,140,66,182,19,11:33,canadawest,f
jen schneider,42,325,60,315,101,125,85,142,34,184,45,12:18,canadawest,f
Laurissa Dunajski,43,336,35,341,41,135,135,138,88,181,37,12:07,canadawest,f
Amanda Konefal,43,336,77,312,52,133,60,144,69,182,78,12:58,canadawest,f
Alex Sparling,45,341,31,345,91,127,63,144,40,184,116,13:28,canadawest,f
Heather Jaques,46,344,106,307,74,130,4,175,57,182,103,13:21,canadawest,f
Mandy Gill,47,349,15,355,74,130,36,150,71,182,153,13:56,canadawest,f
Riley Karroll,48,363,29,347,84,129,65,144,59,182,126,13:35,canadawest,f
Natalie Duronio,48,363,106,307,41,135,75,142,55,183,86,13:04,canadawest,f
Kristi Jorgenson,50,382,210,285,30,139,54,145,58,182,30,11:56,canadawest,f
Jenn Swagar,51,394,39,338,91,127,74,143,33,184,157,14:00,canadawest,f
Robyn Horner,51,394,53,319,41,135,194,135,53,183,53,12:25,canadawest,f
Amy Speed-Andrews,53,432,57,316,146,87,126,139,68,182,35,12:04,canadawest,f
Kathryn Hegger,54,438,46,331,95,126,155,137,47,183,95,13:14,canadawest,f
Taryn Haggerstone,55,445,106,307,52,133,160,137,89,181,38,12:11,canadawest,f
Alexandra Chretien,55,445,51,323,74,130,122,139,83,181,115,13:27,canadawest,f
Tricia Persson,55,445,60,315,106,124,83,142,116,180,80,13:01,canadawest,f
Angie McNally,58,453,106,307,70,131,102,141,42,183,133,13:44,canadawest,f
Jackie Snell,59,462,145,303,84,129,43,148,74,182,116,13:28,canadawest,f
Jordan Harvie,60,465,155,302,21,176,121,139,100,181,68,12:46,canadawest,f
