Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Michelle Kinney,1,22,8,392,6,264,2,184,2,206,4,09:24,centraleast,f
Jennifer Smith,2,27,3,402,5,265,8,175,4,199,7,09:38,centraleast,f
Julie Foucher,3,31,8,392,1,353,20,160,1,219,1,08:38,centraleast,f
Mikki Nuccio,4,42,1,424,14,244,4,181,20,193,3,09:21,centraleast,f
Lindy Barber,5,53,6,394,7,263,10,175,11,195,19,10:46,centraleast,f
Jessica Martinez,6,103,30,359,24,200,3,182,15,194,31,11:04,centraleast,f
Kristi Eramo,7,124,42,353,17,242,42,156,8,197,15,10:30,centraleast,f
Kelli Cramer,8,125,11,390,22,202,39,156,28,192,25,10:56,centraleast,f
Elyse Kile,8,125,30,359,24,200,13,167,18,194,40,11:12,centraleast,f
Danielle Sidell,10,126,4,395,12,248,1,192,15,194,94,11:51,centraleast,f
Alyssa Ritchey,11,133,50,352,2,275,31,157,35,192,15,10:30,centraleast,f
Lauren Rutan,12,139,11,390,4,267,75,151,47,189,2,09:19,centraleast,f
JoEllyn McAtee,13,145,23,360,53,190,27,158,6,197,36,11:10,centraleast,f
Nicole Holcomb,14,150,22,361,21,204,49,155,46,189,12,10:21,centraleast,f
Cristen Walker,15,152,37,355,28,198,17,162,21,193,49,11:19,centraleast,f
Melissa Wills,16,191,68,349,33,196,22,159,12,195,56,11:23,centraleast,f
Kristin Reffett,17,194,18,367,9,255,57,154,59,187,51,11:22,centraleast,f
Lindsey Kelly,18,203,18,367,20,207,6,175,10,195,149,12:26,centraleast,f
Kyri-Ann Harbrueger,19,221,17,377,30,197,45,155,93,184,36,11:10,centraleast,f
Heather Welsh,20,222,60,350,62,183,7,175,7,197,86,11:43,centraleast,f
Katelyn Haynes,21,223,35,356,90,171,70,152,19,193,9,09:58,centraleast,f
Lauren Hmiel,21,223,42,353,65,182,21,159,31,192,64,11:28,centraleast,f
Jenny Borda,23,224,42,353,13,246,85,150,63,187,21,10:47,centraleast,f
Melissa Doss,24,227,41,354,11,250,134,146,17,194,24,10:53,centraleast,f
Mary Cargill,25,229,23,360,56,187,128,147,9,196,13,10:24,centraleast,f
Jennifer Osborn,26,236,60,350,46,193,5,179,5,198,120,12:10,centraleast,f
Annie Wehry,27,240,33,357,36,195,69,152,60,187,42,11:13,centraleast,f
Meghan Hicks,28,258,16,379,67,181,62,153,43,190,70,11:36,centraleast,f
Merrill Mullis,29,275,60,350,74,177,12,167,41,190,88,11:48,centraleast,f
Lisa Shiu,29,275,42,353,33,196,59,154,23,193,118,12:08,centraleast,f
Sara Blunck,29,275,87,345,27,199,40,156,61,187,60,11:25,centraleast,f
Lynn Potter,32,286,30,359,46,193,36,156,99,184,75,11:39,centraleast,f
Kelsey Miller,33,307,57,351,62,183,86,150,33,192,69,11:32,centraleast,f
Jennifer Nobis-Dancer,34,309,50,352,30,197,11,173,34,192,184,12:45,centraleast,f
Allie Sholley,35,320,37,355,33,196,131,146,79,185,40,11:12,centraleast,f
Stephanie Lynn,36,321,6,394,28,198,181,143,70,187,36,11:10,centraleast,f
Crissy Cannon,36,321,77,347,7,263,188,143,24,193,25,10:56,centraleast,f
Casey Strope,38,323,57,351,56,187,53,154,80,185,77,11:40,centraleast,f
Kacie Wagner,39,327,10,391,76,176,127,147,58,188,56,11:23,centraleast,f
Brittany Kopp,40,336,11,390,19,239,253,141,14,195,39,11:11,centraleast,f
Chelsea Rankin,41,341,42,353,108,141,32,157,110,183,49,11:19,centraleast,f
Jessie Heikenfeld,42,344,103,335,36,195,76,151,69,187,60,11:25,centraleast,f
Laura Barito,43,363,33,357,87,172,14,165,25,193,204,12:56,centraleast,f
Kristen Christman,44,370,100,341,155,136,19,160,52,188,44,11:15,centraleast,f
Holly Dundon,45,397,37,355,67,181,99,149,92,184,102,11:55,centraleast,f
Jolene Grant,46,402,147,317,18,240,196,142,26,193,15,10:30,centraleast,f
Julie Hamilton,47,407,142,320,36,195,61,153,145,182,23,10:52,centraleast,f
Suzie Pettey,48,408,87,345,49,192,177,144,32,192,63,11:27,centraleast,f
Ashley Schwamberger,48,408,131,325,128,138,46,155,55,188,48,11:16,centraleast,f
Anna Rode,50,409,42,353,3,268,357,137,3,199,4,09:24,centraleast,f
Megan McAuley,51,420,127,326,56,187,66,153,27,192,144,12:23,centraleast,f
Emily Deet,52,436,14,385,142,137,28,158,233,180,19,10:46,centraleast,f
Trisha Cherveny,52,436,23,360,95,143,87,150,187,181,44,11:15,centraleast,f
Semma Burba,54,446,198,311,108,141,38,156,73,186,29,11:03,centraleast,f
Alexis Creekmur,55,483,102,336,87,172,51,155,68,187,175,12:42,centraleast,f
Marcella Morrill,56,487,191,312,99,142,136,146,51,189,10,10:02,centraleast,f
Jamie Medley,57,489,4,395,99,142,120,147,237,180,29,11:03,centraleast,f
Katie Szefcyk,58,492,87,345,99,142,92,150,137,182,77,11:40,centraleast,f
Emily Griffith,59,494,23,360,41,194,263,140,53,188,114,12:05,centraleast,f
Khristin Allen,60,496,80,346,99,142,47,155,50,189,220,13:03,centraleast,f
