Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Alea Helmick,1,16,2,398,4,265,2,181,5,194,3,09:30,midatlantic,f
Anna Tunnicliffe,2,26,1,431,1,276,7,175,16,192,1,09:13,midatlantic,f
Christy Adkins,3,28,4,394,6,260,10,174,1,200,7,10:01,midatlantic,f
Emily Friedman,3,28,15,360,3,267,6,175,2,199,2,09:16,midatlantic,f
Michelle Crawford,5,59,35,354,13,206,1,186,6,194,4,09:41,midatlantic,f
Rachel Doucet,6,101,3,396,7,259,70,152,11,193,10,10:10,midatlantic,f
Marcie Wells,7,102,24,359,35,197,8,175,18,192,17,10:35,midatlantic,f
Jen Rocawich,8,152,5,393,10,243,47,154,28,191,62,11:27,midatlantic,f
Amy Bright,9,153,14,361,2,268,29,160,41,188,67,11:31,midatlantic,f
Teresa Luz,10,158,74,348,15,205,14,172,42,188,13,10:12,midatlantic,f
whitney gelin,11,202,90,345,18,203,69,152,20,192,5,09:46,midatlantic,f
Gretchen Kittelberger,11,202,54,351,15,205,95,150,9,194,29,10:58,midatlantic,f
Dara Ching,13,204,28,357,5,263,101,149,51,188,19,10:39,midatlantic,f
Kimberly Johnson,14,208,6,390,86,183,54,153,48,188,14,10:27,midatlantic,f
Lisa Mealey,15,209,6,390,35,197,90,150,33,190,45,11:12,midatlantic,f
Emily Breeze Ross,16,221,39,353,47,195,99,149,30,190,6,09:50,midatlantic,f
Erin Ferner,17,223,15,360,81,184,43,155,56,187,28,10:55,midatlantic,f
Megan Gilbert,18,227,61,350,41,196,27,160,27,191,71,11:32,midatlantic,f
Pamela Gagnon,19,230,61,350,8,256,93,150,3,195,65,11:30,midatlantic,f
Sara Wood,20,235,74,348,21,201,17,169,111,184,12,10:11,midatlantic,f
Nicky Crais,20,235,43,352,41,196,39,156,58,187,54,11:24,midatlantic,f
Alicia McKenzie,22,246,15,360,12,238,11,172,15,192,193,12:31,midatlantic,f
Jennifer Butler,23,248,90,345,9,244,46,154,72,186,31,10:59,midatlantic,f
Katie Levy,24,249,74,348,55,193,4,175,19,192,97,11:44,midatlantic,f
Chassity Martin,25,268,15,360,110,175,86,150,26,191,31,10:59,midatlantic,f
Bethany Lauster,26,274,66,349,21,201,136,147,22,191,29,10:58,midatlantic,f
Shanna Duvall,27,296,43,352,41,196,63,153,14,193,135,12:07,midatlantic,f
Darian Sperry,28,305,15,360,58,192,143,147,46,188,43,11:10,midatlantic,f
Kari Cezat,29,307,163,319,11,240,24,164,50,188,59,11:26,midatlantic,f
Linsey Wise,30,315,54,351,73,187,151,146,12,193,25,10:51,midatlantic,f
Kate Miller,31,317,13,366,168,139,40,156,59,187,37,11:07,midatlantic,f
Sarah Dunsmore,32,318,61,350,58,192,91,150,63,187,45,11:12,midatlantic,f
Brittney Kortz,33,321,28,357,21,201,213,143,37,189,22,10:46,midatlantic,f
Stephanie Brennan,34,322,126,332,81,184,34,158,31,190,50,11:19,midatlantic,f
Cameron Williams,35,328,11,372,65,190,85,151,35,190,132,12:04,midatlantic,f
Quinn Megargel,36,332,80,347,80,185,41,156,38,189,93,11:41,midatlantic,f
Jennifer Navarro,37,336,15,360,95,179,45,154,117,184,64,11:29,midatlantic,f
Loren Churchin-Lang,38,338,43,352,81,184,109,149,43,188,62,11:27,midatlantic,f
Ashleigh Woods,39,349,43,352,35,197,183,145,17,192,71,11:32,midatlantic,f
Alexis Takas,40,359,43,352,124,143,67,152,115,184,10,10:10,midatlantic,f
Danielle Dionne,41,362,159,320,41,196,83,151,8,194,71,11:32,midatlantic,f
Nicole Capurso,42,363,25,358,95,179,21,167,44,188,178,12:26,midatlantic,f
Corinna Benz,43,382,198,314,17,204,119,148,10,194,38,11:08,midatlantic,f
Tracy Shuford,44,385,80,347,185,138,16,170,23,191,81,11:37,midatlantic,f
Gaylemarie Kolb,45,394,163,319,73,187,25,162,25,191,108,11:51,midatlantic,f
Corrine Check,46,398,39,353,185,138,3,175,70,186,101,11:46,midatlantic,f
Kimberly Klopp,47,415,141,328,69,189,114,148,24,191,67,11:31,midatlantic,f
Kate Garufi,48,424,108,340,28,199,35,158,60,187,193,12:31,midatlantic,f
Kimberly Norton,49,431,32,356,132,142,32,158,197,182,38,11:08,midatlantic,f
Kim Holway,50,434,15,360,100,177,37,157,201,182,81,11:37,midatlantic,f
Darcy Thompson,51,436,10,376,168,139,129,147,21,191,108,11:51,midatlantic,f
Emily Record,52,442,66,349,154,140,26,161,54,187,142,12:11,midatlantic,f
Keeli Michael,53,446,172,316,35,197,134,147,61,187,44,11:11,midatlantic,f
Jamie Chrispen,54,460,100,344,100,177,65,152,110,184,85,11:39,midatlantic,f
Elizabeth Lillie,55,468,134,330,132,142,23,166,90,185,89,11:40,midatlantic,f
Kim Cocce,56,475,172,316,31,198,31,160,130,184,111,11:54,midatlantic,f
Christa Giordano,57,483,35,354,28,199,130,147,13,193,277,12:55,midatlantic,f
Kaja Baum,58,497,80,347,77,186,78,151,87,185,175,12:25,midatlantic,f
Katie Wasalaski,59,503,25,358,143,141,28,160,69,186,238,12:45,midatlantic,f
Drew Hanna,60,504,172,316,86,183,105,149,52,188,89,11:40,midatlantic,f
