Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Emily Bridgers,1,16,1,409,2,337,11,159,1,221,1,08:47,southeast,f
Talayna Fortunato,2,75,6,390,4,320,34,153,3,199,28,10:51,southeast,f
Lauren Brooks,3,110,82,346,7,251,14,158,4,196,3,09:20,southeast,f
Allison Bourdon,4,133,16,360,5,265,92,148,8,192,12,10:19,southeast,f
Colleen Lehane,5,143,4,393,6,261,123,146,5,194,5,10:03,southeast,f
Andrea Kwiatkowski,6,148,58,350,40,195,5,172,23,190,22,10:42,southeast,f
Taylar Stallings,7,171,10,376,18,202,1,178,54,187,88,11:49,southeast,f
Laura Brannen,8,172,3,395,3,331,88,148,9,192,69,11:39,southeast,f
Mallory Erwin,9,186,31,356,29,197,22,156,94,185,10,10:10,southeast,f
Ami Wight,10,187,35,355,16,203,70,150,25,190,41,11:07,southeast,f
Bianca Blair,11,193,35,355,40,195,27,154,36,189,55,11:29,southeast,f
Jessica Carillon,12,201,35,355,14,204,72,150,25,190,55,11:29,southeast,f
Fain Davis,13,203,88,345,25,198,47,152,10,192,33,10:57,southeast,f
Sarina Woodworth,14,209,58,350,46,194,12,159,24,190,69,11:39,southeast,f
Tina Carson,15,212,9,377,21,201,97,148,81,186,4,09:54,southeast,f
Sonya McMillan,16,218,58,350,52,193,8,166,45,188,55,11:29,southeast,f
Alysia Stewart,17,240,23,358,29,197,41,153,130,184,17,10:31,southeast,f
Elise Trexler,18,256,8,385,11,239,55,151,12,192,170,12:31,southeast,f
Jaci Cale,19,258,48,352,7,251,145,145,39,189,19,10:34,southeast,f
marty Raines,20,267,48,352,35,196,82,149,60,187,42,11:12,southeast,f
Sarah Franklin,21,274,6,390,66,189,38,153,55,187,109,12:01,southeast,f
Breona Evans,22,290,197,314,25,198,28,154,27,190,13,10:20,southeast,f
Kim Griffin,22,290,43,353,35,196,50,152,64,187,98,11:56,southeast,f
Leah Polaski,24,319,139,326,56,192,39,153,16,191,69,11:39,southeast,f
Lauren Truszkowski,25,321,16,360,35,196,211,142,53,187,6,10:04,southeast,f
Diana Greene,26,327,82,346,114,171,37,153,31,190,63,11:36,southeast,f
Briana Hamilton,27,331,13,368,120,164,3,174,92,186,103,11:58,southeast,f
Alexis Yoculan,28,344,104,339,69,187,64,150,38,189,69,11:39,southeast,f
Christine Anastario,29,346,11,374,29,197,18,157,250,181,38,11:04,southeast,f
Krista Owens,30,348,16,360,122,148,4,173,95,185,111,12:02,southeast,f
Elly Kabboord,31,351,53,351,46,194,202,143,29,190,21,10:40,southeast,f
Jenny Carter,32,356,23,358,46,194,31,154,245,181,11,10:17,southeast,f
Lindsay Marcinik,33,362,72,348,35,196,143,145,76,186,36,11:01,southeast,f
Ashley Almand,34,409,142,325,23,199,183,143,18,191,43,11:13,southeast,f
Brooke Haas,35,416,35,355,161,139,45,152,75,186,100,11:57,southeast,f
Shana Alverson,36,422,65,349,67,188,34,153,19,191,237,12:58,southeast,f
Stephanie O'Connor,36,422,31,356,180,137,24,155,43,188,144,12:21,southeast,f
Megan Monberg,38,438,203,313,79,184,36,153,41,188,79,11:43,southeast,f
Hannah Richards,39,443,169,316,72,186,120,146,34,190,48,11:24,southeast,f
Erica Cox,40,450,72,348,148,140,77,149,77,186,76,11:42,southeast,f
Caroline Dardini,41,460,170,315,25,198,177,144,51,188,37,11:03,southeast,f
Hilary Mauro,42,468,12,371,46,194,207,142,121,184,82,11:46,southeast,f
April Lowe,43,473,151,321,56,192,26,155,196,182,44,11:14,southeast,f
Allison Brager,44,475,273,308,79,184,108,147,6,194,9,10:07,southeast,f
Elizabeth Parry,45,480,113,334,67,188,132,146,151,183,17,10:31,southeast,f
Chelsea Lowery,46,490,170,315,103,175,24,155,140,183,53,11:28,southeast,f
Hanna Gartman,47,513,53,351,40,195,66,150,322,180,32,10:56,southeast,f
Taylor Flynn,48,516,82,346,40,195,195,143,14,192,185,12:39,southeast,f
Wendy Shafranski,49,517,65,349,200,136,20,156,186,182,46,11:21,southeast,f
Tommie Deprima,50,520,79,347,12,230,213,142,189,182,27,10:50,southeast,f
Christine Chuang,51,531,170,315,69,187,149,145,13,192,130,12:13,southeast,f
Molly Spicer,52,536,126,329,109,173,56,151,116,184,129,12:10,southeast,f
Amy Hagler,53,539,43,353,117,168,124,146,57,187,198,12:48,southeast,f
Brittany Graham,53,539,48,352,62,190,316,139,61,187,52,11:26,southeast,f
Kathleen Vinson,55,546,53,351,123,143,103,147,242,181,25,10:47,southeast,f
Sarabeth Phillips,56,547,98,343,9,241,199,143,21,191,220,12:55,southeast,f
Krissi Brown,57,550,170,315,52,193,205,143,15,192,108,12:00,southeast,f
Daniella Estrella,58,559,115,333,95,178,94,148,125,184,130,12:13,southeast,f
Sarah Carnello,59,566,58,350,148,140,13,158,309,180,38,11:04,southeast,f
Kelly Cook,60,583,261,309,46,194,54,151,50,188,172,12:32,southeast,f
