athlete,gender,region,wod,score,rank,overall_score,overall_rank
Frederik Engelbrecht,m,africa,14_1,261,312,380,49
Ludwig Viljoen,m,africa,14_1,270,212,448,58
Felix Malan,m,africa,14_1,284,180,449,59
Ben Schempers,m,africa,14_1,289,168,383,50
Chris Seymour,m,africa,14_1,290,163,421,53
Grant Moseby,m,africa,14_1,301,128,306,36
Quinton Z Van Rooyen,m,africa,14_1,301,128,323,40
Matthew Smith,m,africa,14_1,301,128,343,42
Billy Pullen,m,africa,14_1,305,106,196,21
werner olivier,m,africa,14_1,305,106,442,56
Julian Reichman,m,africa,14_1,306,99,440,55
Paul Hofman,m,africa,14_1,307,92,442,56
Hannes du Toit,m,africa,14_1,308,86,313,38
Pierre Ferreira,m,africa,14_1,309,78,352,43
Garth High,m,africa,14_1,310,69,185,19
Brandon Graham,m,africa,14_1,310,69,284,33
Pierre Oelofsen,m,africa,14_1,310,69,289,34
Brad Wolff,m,africa,14_1,311,66,154,14
Andre Gadney,m,africa,14_1,311,66,155,15
Adham Salloum,m,africa,14_1,312,62,363,47
Louis Achadinha,m,africa,14_1,315,55,104,10
Antony Swanepoel,m,africa,14_1,316,53,247,30
Jannus Du Preez,m,africa,14_1,316,53,423,54
Cillie Malan,m,africa,14_1,318,50,242,28
Kyle Howard,m,africa,14_1,324,46,226,25
Gregory Dalton,m,africa,14_1,324,46,271,32
Gerhard van der Merwe,m,africa,14_1,326,45,206,22
Haitham Mahgoub,m,africa,14_1,327,44,324,41
Frik OCallaghan,m,africa,14_1,328,42,310,37
Tyron Hatch,m,africa,14_1,328,42,358,45
Ivan Kruger,m,africa,14_1,329,41,187,20
Mark Lubbe,m,africa,14_1,331,40,370,48
Nico van der Walt,m,africa,14_1,332,39,292,35
JP Knipe,m,africa,14_1,333,37,407,52
Muhammad Al Deeb,m,africa,14_1,337,36,360,46
Andre Olivier,m,africa,14_1,341,33,242,28
Estian Ferreira,m,africa,14_1,343,31,147,13
Jaco Van der Vyver,m,africa,14_1,345,24,59,5
Cameron Mitchell,m,africa,14_1,345,24,175,16
Sean Tangney,m,africa,14_1,345,24,215,23
Karim Maamoun,m,africa,14_1,345,24,234,27
Grant Bydawell,m,africa,14_1,345,24,247,30
Jacques Du Toit,m,africa,14_1,346,23,352,43
Jean du Plessis,m,africa,14_1,347,20,231,26
Nicholas Bordalo,m,africa,14_1,347,20,397,51
Carl Du Plessis,m,africa,14_1,348,16,135,11
Mourad Gaber,m,africa,14_1,348,16,460,60
Roman Chausse,m,africa,14_1,349,15,178,17
David Levey,m,africa,14_1,350,14,68,7
Dean Shaw,m,africa,14_1,352,12,103,9
Leon Manders,m,africa,14_1,353,11,139,12
Mohamed Abou Auf,m,africa,14_1,354,10,64,6
Johann Werth,m,africa,14_1,355,8,45,3
Alan Foulis,m,africa,14_1,355,8,89,8
Brendon Bantjes,m,africa,14_1,359,7,313,38
Jean-Claude Jar dim,m,africa,14_1,360,5,38,2
Andrew Martin,m,africa,14_1,360,5,183,18
Wade Bothwell,m,africa,14_1,367,3,220,24
Richard Smith,m,africa,14_1,390,2,55,4
Jason Smith,m,africa,14_1,422,1,21,1
Jacques Du Toit,m,africa,14_2,128,128,352,43
JP Knipe,m,africa,14_2,129,121,407,52
Mourad Gaber,m,africa,14_2,130,111,460,60
Kyle Howard,m,africa,14_2,131,104,226,25
Brendon Bantjes,m,africa,14_2,131,104,313,38
werner olivier,m,africa,14_2,133,94,442,56
Frik OCallaghan,m,africa,14_2,134,85,310,37
Matthew Smith,m,africa,14_2,134,85,343,42
Jannus Du Preez,m,africa,14_2,134,85,423,54
Antony Swanepoel,m,africa,14_2,135,75,247,30
Haitham Mahgoub,m,africa,14_2,136,72,324,41
Chris Seymour,m,africa,14_2,136,72,421,53
Jean du Plessis,m,africa,14_2,137,68,231,26
Gregory Dalton,m,africa,14_2,137,68,271,32
Nico van der Walt,m,africa,14_2,137,68,292,35
Quinton Z Van Rooyen,m,africa,14_2,138,62,323,40
Leon Manders,m,africa,14_2,139,55,139,12
Andrew Martin,m,africa,14_2,139,55,183,18
Brandon Graham,m,africa,14_2,139,55,284,33
Andre Olivier,m,africa,14_2,140,49,242,28
Pierre Oelofsen,m,africa,14_2,140,49,289,34
Tyron Hatch,m,africa,14_2,140,49,358,45
Nicholas Bordalo,m,africa,14_2,140,49,397,51
Karim Maamoun,m,africa,14_2,141,46,234,27
Adham Salloum,m,africa,14_2,141,46,363,47
Alan Foulis,m,africa,14_2,142,43,89,8
Grant Moseby,m,africa,14_2,142,43,306,36
Wade Bothwell,m,africa,14_2,143,40,220,24
Muhammad Al Deeb,m,africa,14_2,143,40,360,46
Felix Malan,m,africa,14_2,143,40,449,59
Paul Hofman,m,africa,14_2,146,39,442,56
Grant Bydawell,m,africa,14_2,163,37,247,30
Pierre Ferreira,m,africa,14_2,167,36,352,43
Cillie Malan,m,africa,14_2,170,34,242,28
Ludwig Viljoen,m,africa,14_2,170,34,448,58
Cameron Mitchell,m,africa,14_2,176,30,175,16
Mark Lubbe,m,africa,14_2,176,30,370,48
Ben Schempers,m,africa,14_2,178,29,383,50
Hannes du Toit,m,africa,14_2,180,28,313,38
Johann Werth,m,africa,14_2,185,23,45,3
Sean Tangney,m,africa,14_2,185,23,215,23
Brad Wolff,m,africa,14_2,188,20,154,14
Garth High,m,africa,14_2,188,20,185,19
Billy Pullen,m,africa,14_2,188,20,196,21
Roman Chausse,m,africa,14_2,189,19,178,17
Carl Du Plessis,m,africa,14_2,190,18,135,11
Ivan Kruger,m,africa,14_2,191,16,187,20
Jean-Claude Jar dim,m,africa,14_2,193,13,38,2
Mohamed Abou Auf,m,africa,14_2,193,13,64,6
Louis Achadinha,m,africa,14_2,193,13,104,10
Andre Gadney,m,africa,14_2,194,11,155,15
Estian Ferreira,m,africa,14_2,195,10,147,13
Richard Smith,m,africa,14_2,200,8,55,4
Julian Reichman,m,africa,14_2,200,8,440,55
Dean Shaw,m,africa,14_2,204,6,103,9
Frederik Engelbrecht,m,africa,14_2,206,5,380,49
Jason Smith,m,africa,14_2,234,4,21,1
Jaco Van der Vyver,m,africa,14_2,244,3,59,5
Gerhard van der Merwe,m,africa,14_2,259,2,206,22
David Levey,m,africa,14_2,262,1,68,7
Julian Reichman,m,africa,14_3,121,307,440,55
Nicholas Bordalo,m,africa,14_3,130,223,397,51
Paul Hofman,m,africa,14_3,130,223,442,56
Mourad Gaber,m,africa,14_3,130,185,460,60
Tyron Hatch,m,africa,14_3,131,141,358,45
Frik OCallaghan,m,africa,14_3,132,129,310,37
Adham Salloum,m,africa,14_3,132,127,363,47
Gerhard van der Merwe,m,africa,14_3,134,113,206,22
Gregory Dalton,m,africa,14_3,134,104,271,32
Muhammad Al Deeb,m,africa,14_3,134,100,360,46
werner olivier,m,africa,14_3,134,118,442,56
Wade Bothwell,m,africa,14_3,135,94,220,24
Brandon Graham,m,africa,14_3,135,92,284,33
Andre Olivier,m,africa,14_3,136,88,242,28
Pierre Oelofsen,m,africa,14_3,137,79,289,34
Mark Lubbe,m,africa,14_3,137,83,370,48
Felix Malan,m,africa,14_3,137,86,449,59
Garth High,m,africa,14_3,138,67,185,19
