Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Jason Smith,1,21,1,422,4,234,13,146,2,212,1,10:35,africa,m
Jean-Claude Jar dim,2,38,5,360,13,193,9,148,6,202,5,11:10,africa,m
Johann Werth,3,45,8,355,23,185,1,164,1,219,12,12:02,africa,m
Richard Smith,4,55,2,390,8,200,32,142,3,211,10,11:36,africa,m
Jaco Van der Vyver,5,59,24,345,3,244,10,148,16,195,6,11:13,africa,m
Mohamed Abou Auf,6,64,10,354,13,193,2,153,35,189,4,11:09,africa,m
David Levey,7,68,14,350,1,262,11,148,7,201,35,12:59,africa,m
Alan Foulis,8,89,8,355,43,142,21,144,14,196,3,10:59,africa,m
Dean Shaw,9,103,12,352,6,204,54,140,19,194,12,12:02,africa,m
Louis Achadinha,10,104,55,315,13,193,3,152,25,192,8,11:26,africa,m
Carl Du Plessis,11,135,16,348,18,190,48,140,27,191,26,12:46,africa,m
Leon Manders,12,139,11,353,55,139,3,152,37,189,33,12:55,africa,m
Estian Ferreira,13,147,31,343,10,195,44,141,13,197,49,13:21,africa,m
Brad Wolff,14,154,66,311,20,188,28,143,24,193,16,12:22,africa,m
Andre Gadney,15,155,66,311,11,194,42,141,4,209,32,12:51,africa,m
Cameron Mitchell,16,175,24,345,30,176,35,142,57,187,29,12:47,africa,m
Roman Chausse,17,178,15,349,NA,NA,NA,NA,NA,NA,NA,NA,africa,m
