Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Rob Forte,1,17,2,424,6,277,4,168,1,263,4,09:01,australia,m
Ben Garard,2,44,13,398,9,274,15,156,6,246,1,08:49,australia,m
Matt Reilly,3,79,8,401,13,272,28,154,2,253,28,10:01,australia,m
Brandon Swan,4,82,31,391,13,272,20,155,12,240,6,09:09,australia,m
Keegan Wolfenden,5,90,8,401,26,266,12,157,19,235,25,09:59,australia,m
Zach Morton-Adair,6,100,22,394,16,271,27,154,14,239,21,09:54,australia,m
Rory Boyden,7,118,5,410,78,239,21,155,4,249,10,09:33,australia,m
James Newbury,8,134,35,390,4,319,53,150,10,244,32,10:09,australia,m
Khan Porter,9,137,4,414,11,273,61,150,43,225,18,09:53,australia,m
Michael Mikaere,10,154,2,424,34,262,16,156,17,237,85,10:58,australia,m
Scott Hutchison,11,155,6,408,3,322,38,152,37,226,71,10:50,australia,m
Kyle Frankenfeld,12,172,7,402,22,269,135,146,3,252,5,09:02,australia,m
Aaron James,13,177,85,360,31,263,8,162,15,239,38,10:22,australia,m
Luke Starr,14,178,85,360,24,268,2,169,53,220,14,09:42,australia,m
Chad Mackay,14,178,10,400,38,261,41,152,24,231,65,10:46,australia,m
Patrick Fitzsimons,16,183,50,381,1,325,59,150,47,222,26,10:00,australia,m
Dean Linder-Leighton,17,206,1,437,27,265,170,144,5,248,3,08:55,australia,m
Cj Walker,18,215,16,396,22,269,153,145,13,240,11,09:36,australia,m
Drummond Williamson,19,236,31,391,11,273,160,145,27,229,7,09:15,australia,m
Michael Roach,20,238,28,392,39,260,82,148,18,236,71,10:50,australia,m
Alex Ranieri,21,243,51,380,90,206,11,158,36,227,55,10:39,australia,m
Scott Mackenzie,22,249,15,397,49,254,71,149,23,231,91,11:03,australia,m
Brendan Clarke,23,260,16,396,54,251,111,147,29,229,50,10:34,australia,m
Benjamin Connor,24,261,25,393,24,268,60,150,38,226,114,11:18,australia,m
Hayden LaVanda,25,267,85,360,5,312,138,145,11,242,28,10:01,australia,m
Matt Bice,25,267,35,390,45,256,5,167,31,228,151,11:33,australia,m
James Connew,27,280,35,390,1,325,173,144,41,225,30,10:04,australia,m
Luke McMahon,28,285,25,393,8,276,208,143,26,229,18,09:53,australia,m
Kevin Manuel,29,287,85,360,31,263,40,152,16,238,115,11:19,australia,m
Matthew Forwood,30,293,48,383,66,244,86,148,46,224,47,10:33,australia,m
Michael Gillum,31,310,22,394,145,200,24,155,50,222,69,10:48,australia,m
William Laister,32,329,80,364,75,240,142,145,20,234,12,09:41,australia,m
Will Edgar,33,332,13,398,134,201,34,153,106,200,45,10:31,australia,m
Chris Hogan,34,337,31,391,27,265,157,145,42,225,80,10:54,australia,m
Daniel Lewis,35,340,82,361,121,202,35,153,59,218,43,10:26,australia,m
Wade Barrett,36,345,16,396,27,265,204,143,63,217,35,10:16,australia,m
John Templeton,37,350,82,361,90,206,44,151,34,227,100,11:08,australia,m
Jason Haywood,38,354,73,367,75,240,17,156,146,198,43,10:26,australia,m
Chris Medcraft,39,359,19,395,49,254,183,144,71,213,37,10:21,australia,m
Mitchell Sinnamon,40,365,125,357,17,270,25,155,148,198,50,10:34,australia,m
Kieran Hogan,41,367,181,352,17,270,100,147,45,224,24,09:57,australia,m
Joshua Santhou,42,371,64,373,79,238,58,150,62,217,108,11:13,australia,m
Cielo marchesi,43,392,56,377,81,235,70,149,130,199,55,10:39,australia,m
Glen Laws,44,393,58,375,112,203,162,145,25,229,36,10:18,australia,m
Ben Wadwell,45,394,61,374,39,260,72,149,90,206,132,11:27,australia,m
Doug Armstrong,46,400,43,388,54,251,54,150,126,199,123,11:22,australia,m
Callum Gifford,47,412,152,354,105,204,26,154,58,218,71,10:50,australia,m
Sam Joraslafsky,48,413,31,391,145,200,3,169,40,226,194,11:47,australia,m
Paul Walton,49,417,46,384,112,203,49,150,127,199,83,10:57,australia,m
Zeke Grove,50,433,85,360,47,255,272,141,8,245,21,09:54,australia,m
Alex Thackray,51,462,61,374,90,206,190,144,82,208,39,10:23,australia,m
Nick Fuentes,52,463,61,374,60,248,206,143,102,202,34,10:12,australia,m
Luke Pickerd,53,467,107,359,27,265,234,142,30,228,69,10:48,australia,m
Luke McGruer,54,470,181,352,34,262,187,144,28,229,40,10:24,australia,m
Ryan Woodall,55,485,114,358,69,242,92,148,144,199,66,10:47,australia,m
Nathan Beves,56,493,19,395,196,195,14,156,33,227,231,11:59,australia,m
Kosta Ilic,57,495,107,359,145,200,51,150,96,203,96,11:06,australia,m
Michael Howson,58,502,10,400,134,201,10,158,294,194,54,10:36,australia,m
Jerrome McKittrick,59,509,77,365,47,255,283,141,86,207,16,09:48,australia,m
Jarrod Bowe,60,524,35,390,97,205,172,144,72,212,148,11:32,australia,m
