Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Jonathan Gibson,1,14,4,402,5,267,2,175,2,252,1,09:38,canadawest,m
Brent Fikowski,2,26,1,443,1,333,20,151,1,260,3,09:59,canadawest,m
Joe Scali,3,29,5,397,12,255,3,166,4,225,5,10:11,canadawest,m
Robbie Perovich,4,52,2,409,14,245,13,153,9,214,14,10:44,canadawest,m
Dylan Weller,5,53,24,360,13,246,1,175,6,221,9,10:30,canadawest,m
Kurt Baker,5,53,6,396,18,239,16,152,3,248,10,10:35,canadawest,m
Nate Beveridge,7,84,15,375,16,243,9,155,16,201,28,11:04,canadawest,m
Lucas Parker,8,87,54,353,6,266,4,160,15,201,8,10:25,canadawest,m
zach carlin,9,89,33,358,8,260,12,153,20,200,16,10:45,canadawest,m
Aaron Parker,10,102,12,390,48,196,10,154,14,205,18,10:48,canadawest,m
Jason Cain,11,108,24,360,7,262,17,152,48,197,12,10:41,canadawest,m
Mitch Barnard,12,121,3,406,22,204,24,150,70,194,2,09:44,canadawest,m
Ray Krumme,13,123,38,356,8,260,14,153,21,200,42,11:25,canadawest,m
Reilly McMorris,14,162,8,395,52,195,66,145,5,221,31,11:09,canadawest,m
John Gillis,15,165,10,393,3,278,88,143,60,195,4,10:07,canadawest,m
Terrence Limbert,16,168,43,355,11,257,58,146,21,200,35,11:13,canadawest,m
Steve Howell,17,171,16,370,25,201,7,156,24,199,99,12:23,canadawest,m
Curt Manning,18,202,10,393,28,200,47,147,81,193,36,11:14,canadawest,m
Andrew Askin,19,212,45,354,18,239,50,147,69,194,30,11:07,canadawest,m
Drew Armstrong,20,214,54,353,39,197,29,150,13,208,79,12:10,canadawest,m
Joey Lutz,21,227,126,341,10,258,11,154,51,197,29,11:05,canadawest,m
Tyson Takasaki,22,250,114,345,2,325,104,142,24,199,6,10:22,canadawest,m
Mark Cassibo,23,254,6,396,22,204,169,139,18,200,39,11:17,canadawest,m
Michael FitzGerald,24,264,8,395,111,181,37,148,8,216,100,12:24,canadawest,m
Eric Peterson,25,278,73,351,61,193,28,150,52,197,64,11:52,canadawest,m
Pete Kendrick,26,288,24,360,75,189,42,148,10,213,137,12:48,canadawest,m
David Bradford,27,296,32,359,35,198,23,151,53,196,153,13:02,canadawest,m
Justin Liwanag,28,298,73,351,31,199,103,142,72,194,19,10:49,canadawest,m
Lance Wilson,29,299,148,324,35,198,86,143,19,200,11,10:40,canadawest,m
Mike Fowler,30,305,33,358,139,174,46,147,37,198,50,11:39,canadawest,m
Scott Tasaka,31,307,45,354,25,201,131,141,28,199,78,12:09,canadawest,m
Connor Vale,32,311,58,352,20,207,177,139,39,198,17,10:47,canadawest,m
Paul Lance,33,314,84,350,97,184,19,152,63,195,51,11:40,canadawest,m
Travis Morgan,34,323,130,337,39,197,63,145,23,199,68,11:55,canadawest,m
DJ Wickham,35,337,54,353,48,196,26,150,45,197,164,13:08,canadawest,m
Rob Wright,35,337,45,354,128,176,76,144,26,199,62,11:51,canadawest,m
Casey Inglis,37,342,73,351,66,192,52,146,130,190,21,10:53,canadawest,m
Andrew Slater,38,343,58,352,39,197,134,141,41,197,71,11:58,canadawest,m
Caleb Woiwod,39,350,18,367,75,189,164,139,33,198,60,11:49,canadawest,m
Chris Vienneau,40,354,58,352,75,189,31,150,34,198,156,13:03,canadawest,m
Iain Maclean,41,356,166,319,48,196,87,143,32,198,23,10:59,canadawest,m
Brad Chase,42,364,101,346,75,189,8,156,46,197,134,12:47,canadawest,m
Jason Burke,43,372,13,383,61,193,35,148,54,196,209,13:29,canadawest,m
Zeke Cabell,43,372,38,356,138,175,64,145,95,192,37,11:15,canadawest,m
Alex Kaumeyer,45,376,24,360,105,182,92,143,111,191,44,11:31,canadawest,m
Jeremy Meredith,46,382,98,347,52,195,21,151,93,192,118,12:39,canadawest,m
Brad Burling,47,394,43,355,171,143,25,150,91,192,64,11:52,canadawest,m
Taylor Mason,48,395,73,351,105,182,101,142,92,192,24,11:00,canadawest,m
Thad Palin,49,397,45,354,71,191,93,143,17,200,171,13:14,canadawest,m
Glendon Hall,50,401,140,333,22,204,99,143,68,194,72,12:00,canadawest,m
Jason Biggeman,51,402,20,363,58,194,55,146,161,189,108,12:32,canadawest,m
Jason MacDonald,52,403,133,335,58,194,111,142,11,213,90,12:16,canadawest,m
Tyrell Mara,53,404,38,356,61,193,81,144,181,188,43,11:29,canadawest,m
Zack McMillan,54,412,84,350,52,195,237,136,12,211,27,11:03,canadawest,m
Aiden Poole,55,418,131,336,66,192,107,142,55,196,59,11:48,canadawest,m
Mike Eberts,56,419,73,351,111,181,152,140,76,194,7,10:24,canadawest,m
Jeremy Edwards,57,429,92,348,111,181,30,150,123,191,73,12:04,canadawest,m
David Mullback,58,434,73,351,149,172,18,152,88,193,106,12:29,canadawest,m
Brett Shillington,58,434,58,352,193,141,38,148,78,194,67,11:53,canadawest,m
Frederic Bernier,60,450,84,350,83,187,38,148,84,193,161,13:05,canadawest,m
