Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Ben Smith,1,11,3,433,1,353,4,175,1,265,2,09:16,midatlantic,m
Gary Helmick,2,87,50,383,8,275,19,159,3,246,7,09:35,midatlantic,m
Nathan Keil,3,105,15,398,5,278,40,153,16,228,29,10:18,midatlantic,m
Nathan Bramblett,4,111,15,398,33,261,8,164,27,221,28,10:17,midatlantic,m
Nate Schrader,5,126,45,387,60,252,1,182,12,233,8,09:45,midatlantic,m
Michael Priest,6,138,5,406,8,275,72,150,17,227,36,10:25,midatlantic,m
Adam Klink,7,168,21,395,39,259,32,155,44,213,32,10:20,midatlantic,m
Cody Loeffler,8,170,1,439,15,271,13,160,96,199,45,10:34,midatlantic,m
Sean Sweeney,9,182,86,360,28,262,18,159,4,245,46,10:35,midatlantic,m
Falke Verwer,10,185,2,438,66,250,2,177,82,200,33,10:22,midatlantic,m
Thomas Nay,11,194,15,398,4,310,82,150,40,214,53,10:40,midatlantic,m
Brad Chilva,12,210,23,394,68,248,41,153,6,242,72,10:51,midatlantic,m
David Borrelli,13,232,45,387,12,273,128,147,9,235,38,10:28,midatlantic,m
Joshua Arcona,14,242,6,405,42,258,10,163,22,224,162,11:32,midatlantic,m
Cj JACOBSEN,15,259,113,357,22,265,92,149,21,225,11,09:47,midatlantic,m
Josh Wagner,16,269,27,392,70,246,30,155,98,199,44,10:32,midatlantic,m
Jordan Troyan,17,297,145,355,18,268,119,148,5,245,10,09:46,midatlantic,m
Craig Williams,18,311,131,356,46,257,35,154,35,218,64,10:46,midatlantic,m
Anthony Kurz,19,318,50,383,54,254,50,152,104,199,60,10:45,midatlantic,m
Shawn Butler,20,326,18,397,42,258,69,151,13,230,184,11:41,midatlantic,m
Sonny Zickefoose,21,334,14,399,195,200,44,153,23,224,58,10:43,midatlantic,m
Kent Ingalls,22,343,104,359,6,276,139,147,60,208,34,10:24,midatlantic,m
Adam Blaney,22,343,86,360,28,262,188,145,20,225,21,10:09,midatlantic,m
Jim Crowell,24,345,71,366,23,264,102,148,89,200,60,10:45,midatlantic,m
Paul Buono,25,349,37,390,140,204,107,148,61,208,4,09:25,midatlantic,m
Sean Thomson,26,376,109,358,2,322,230,144,32,220,3,09:17,midatlantic,m
Mike Juricich,27,378,55,382,13,272,178,145,126,198,6,09:31,midatlantic,m
Hunter Wood,28,390,161,354,23,264,67,151,85,200,54,10:41,midatlantic,m
Todd Edmunds,29,397,75,364,172,202,9,164,119,198,22,10:11,midatlantic,m
Nicky Hoberman,30,399,145,355,90,241,60,151,65,207,39,10:29,midatlantic,m
Ray Gutierrez,31,407,10,403,184,201,48,152,139,197,26,10:16,midatlantic,m
Chris Martirano,32,411,37,390,172,202,47,153,37,217,118,11:14,midatlantic,m
Uriah Aviles,33,413,113,357,20,267,89,149,140,197,51,10:38,midatlantic,m
Preston Austin,34,419,72,365,46,257,73,150,146,197,82,10:56,midatlantic,m
John Zvejnieks,35,425,77,363,90,241,150,146,36,218,72,10:51,midatlantic,m
Daniel Skidmore,36,428,113,357,54,254,65,151,43,213,153,11:29,midatlantic,m
Kyle Ruth,37,435,113,357,34,260,46,153,82,200,160,11:31,midatlantic,m
jason baity,38,447,173,353,51,256,45,153,93,200,85,10:57,midatlantic,m
Tyler Cox,39,449,187,352,46,257,88,149,10,235,118,11:14,midatlantic,m
Ben Sturgill,40,474,86,360,140,204,75,150,62,208,111,11:12,midatlantic,m
Erik Christensen,41,479,131,356,75,244,11,162,33,220,229,11:58,midatlantic,m
Jeremy Priar,42,481,66,370,107,236,6,173,124,198,178,11:38,midatlantic,m
Clifford Kohut,43,492,187,352,18,268,209,144,24,222,54,10:41,midatlantic,m
Will Hall,44,506,145,355,87,242,68,151,102,199,104,11:08,midatlantic,m
Ryan Troupe,45,511,21,395,28,262,105,148,340,192,17,10:01,midatlantic,m
Jonathan Morgan,46,531,20,396,102,238,20,158,164,197,225,11:56,midatlantic,m
Kevin Grear,47,550,187,352,39,259,199,145,31,220,94,11:01,midatlantic,m
Matt Gutierrez,48,555,55,382,75,244,43,153,243,194,139,11:24,midatlantic,m
Michael Tancini,49,570,262,348,17,269,125,147,99,199,67,10:47,midatlantic,m
Zach Brock,50,578,86,360,20,267,438,140,19,227,15,09:58,midatlantic,m
Nathan Trevillian,51,589,18,397,3,317,553,138,2,252,13,09:53,midatlantic,m
Jonathan Bostic,52,590,86,360,113,234,84,150,103,199,204,11:48,midatlantic,m
George Caroulis,53,606,109,358,73,245,332,141,41,214,51,10:38,midatlantic,m
Brad Weiss,54,608,86,360,140,204,24,156,105,199,253,12:05,midatlantic,m
Tyler Trettin,55,624,62,375,90,241,231,144,97,199,144,11:26,midatlantic,m
Kurt Miller,56,649,173,353,75,244,200,145,122,198,79,10:54,midatlantic,m
Wendell Watson,57,665,161,354,140,204,29,156,306,193,29,10:18,midatlantic,m
Ryan Bauer,58,675,82,361,75,244,152,146,255,194,111,11:12,midatlantic,m
Thomas Hooton,59,677,27,392,302,193,74,150,81,200,193,11:44,midatlantic,m
Robert Fitzpatrick,60,679,203,351,245,196,83,150,84,200,64,10:46,midatlantic,m
