Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Wanda Brenton,1,15,7,350,1,205,3,155,1,191,3,10:51,latinamerica,f
Anita Pravatti,2,28,7,350,5,186,5,150,2,189,9,11:46,latinamerica,f
Antonelli Nicole,3,63,4,352,7,182,25,142,25,182,2,10:49,latinamerica,f
joyce sanches,4,76,21,312,18,138,28,141,8,185,1,10:47,latinamerica,f
Priscila Caceres,5,81,13,340,12,143,8,149,44,180,4,11:01,latinamerica,f
Marina Ramos Jorge,6,82,17,315,10,172,11,146,14,183,30,13:10,latinamerica,f
Solange Jean-Francois Mon,7,89,9,346,22,136,41,139,11,184,6,11:34,latinamerica,f
Marylin Rojas,8,96,21,312,9,176,50,137,4,186,12,12:01,latinamerica,f
Sandra Kolam,8,96,14,337,47,129,4,153,9,185,22,12:27,latinamerica,f
Brenda Castro,10,106,5,351,2,202,49,137,19,182,31,13:11,latinamerica,f
Itzel Cadena,11,111,5,351,54,125,2,156,3,186,47,13:37,latinamerica,f
Viana Mollinedo,12,112,3,356,17,139,14,145,53,180,25,12:46,latinamerica,f
Linda Gonzalez,13,128,1,378,33,132,36,140,47,180,11,11:53,latinamerica,f
Ashley Puschman,14,154,41,303,15,141,21,143,21,182,56,13:43,latinamerica,f
Yazmin Arroyo Loaiza,15,155,35,305,11,170,52,137,6,186,51,13:41,latinamerica,f
Julieta Gangemi,16,156,24,309,40,130,27,142,28,181,37,13:27,latinamerica,f
Denisse Ortiz,17,160,33,306,54,125,9,148,51,180,13,12:14,latinamerica,f
Karime Ferrari,17,160,17,315,24,135,20,143,66,180,33,13:18,latinamerica,f
Debora Diegas,19,164,46,301,27,134,7,149,13,183,71,14:03,latinamerica,f
Daniele Bernardi,20,165,9,346,40,130,33,140,32,181,51,13:41,latinamerica,f
Cecilia Ramirez Villamil,21,167,20,314,29,133,12,146,20,182,86,14:22,latinamerica,f
Marcela Fernanda Rozo,22,182,33,306,77,116,55,136,4,186,13,12:14,latinamerica,f
Dominique Jocelyne,22,182,16,324,47,129,24,142,33,181,62,13:49,latinamerica,f
tamara muñoz,24,191,55,298,51,127,22,142,35,181,28,12:52,latinamerica,f
JIMENA NAVARRO,25,206,62,290,29,133,56,136,39,181,20,12:25,latinamerica,f
Pochy Valdes,26,209,23,310,33,132,23,142,96,180,34,13:20,latinamerica,f
Tatiana Rebane,27,211,96,270,14,142,57,136,18,182,26,12:47,latinamerica,f
Gabriela Barroso,28,218,15,327,69,120,70,134,22,182,42,13:31,latinamerica,f
Rafaela Ferreira,29,241,65,289,12,143,45,138,27,181,92,14:30,latinamerica,f
Vivian Aiello Bomfim,30,245,17,315,113,85,13,145,55,180,47,13:37,latinamerica,f
Maria Laura Meza Salas,31,254,41,303,24,135,61,135,90,180,38,13:29,latinamerica,f
Maya Byrd,32,258,92,274,59,124,37,139,49,180,21,12:26,latinamerica,f
Jaclyn Peace,33,260,41,303,59,124,17,145,52,180,91,14:25,latinamerica,f
Catherine Mora Arias,34,261,61,292,54,125,58,135,56,180,32,13:15,latinamerica,f
Anita Seccia,35,279,85,278,54,125,19,144,38,181,83,14:20,latinamerica,f
Alejandra Lee,36,299,2,358,18,138,38,139,86,180,155,15:41,latinamerica,f
Sofia Bermeo,37,317,46,301,77,116,71,134,77,180,46,13:36,latinamerica,f
Christine Knieff,38,326,59,293,29,133,42,139,10,185,186,16:08,latinamerica,f
Faba Macias,39,345,27,308,150,82,86,132,74,180,8,11:43,latinamerica,f
Miriam Viera,39,345,37,304,103,86,68,134,84,180,53,13:42,latinamerica,f
Shio Ruiz,39,345,69,288,96,108,74,134,57,180,49,13:40,latinamerica,f
Sabrina Scafati,42,347,110,269,54,125,10,147,95,180,78,14:14,latinamerica,f
Nega Ibarra,43,357,129,265,59,124,79,133,30,181,60,13:46,latinamerica,f
Carolinne Alencar,44,360,48,300,97,106,31,141,105,180,79,14:15,latinamerica,f
Jane Evans,45,374,183,258,77,116,53,137,37,181,24,12:41,latinamerica,f
Jessica Murphy,46,381,95,272,89,113,35,140,29,181,133,15:26,latinamerica,f
Esther Velazco,47,384,76,283,37,131,134,130,110,180,27,12:50,latinamerica,f
Pau De Prado,48,390,30,307,33,132,166,125,40,181,121,15:19,latinamerica,f
Samantha Viana,49,410,129,265,18,138,46,138,75,180,142,15:30,latinamerica,f
Evelin Flores,50,418,55,298,40,130,191,118,103,180,29,13:09,latinamerica,f
Silvia Paiz,51,423,57,295,113,85,101,131,50,180,102,14:45,latinamerica,f
Vanessa Benavides,52,429,141,263,8,181,227,114,36,181,17,12:21,latinamerica,f
Susana Manco,53,445,57,295,27,134,225,114,123,179,13,12:14,latinamerica,f
Anna Hathaway,54,453,96,270,53,126,163,125,84,180,57,13:44,latinamerica,f
edith cabezas,55,463,110,269,127,84,107,130,100,180,19,12:24,latinamerica,f
Eliana Jimenez,56,476,59,293,98,87,159,126,117,180,43,13:34,latinamerica,f
Laura Molina,57,477,163,260,40,130,59,135,90,180,125,15:22,latinamerica,f
karem viloria,58,483,76,283,127,84,91,132,90,180,99,14:41,latinamerica,f
Danielle Nogueira,59,487,96,270,40,130,183,119,7,186,161,15:50,latinamerica,f
Ignacia Larraín,60,493,30,307,219,77,95,131,111,180,38,13:29,latinamerica,f
