Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Margaux Alvarez,1,43,3,402,18,239,7,168,10,195,5,09:36,northerncalifornia,f
Whitney Heuser,2,45,4,399,5,269,17,158,12,195,7,09:56,northerncalifornia,f
Alessandra Pichelli,3,55,33,359,3,271,9,164,2,200,8,09:58,northerncalifornia,f
Kyla Evers,4,88,5,398,47,195,2,179,23,191,11,10:07,northerncalifornia,f
Brandy Richardson,5,91,6,397,33,199,1,186,14,194,37,11:07,northerncalifornia,f
Jenny LaBaw,5,91,10,392,34,198,40,154,3,198,4,09:34,northerncalifornia,f
Chyna Cho,7,92,27,360,6,261,52,152,1,218,6,09:46,northerncalifornia,f
Brooke Ence,7,92,40,355,10,256,16,158,4,197,22,10:40,northerncalifornia,f
Elyse Umeda,9,94,64,350,1,326,21,157,7,197,1,09:02,northerncalifornia,f
Stephanie Perez,10,95,21,375,9,257,42,153,6,197,17,10:20,northerncalifornia,f
Molly Vollmer,11,116,11,391,53,193,12,159,11,195,29,10:51,northerncalifornia,f
Katie Hogan,12,122,7,396,47,195,10,161,31,190,27,10:46,northerncalifornia,f
Rebecca Delaney,13,134,22,373,13,250,26,156,71,186,2,09:10,northerncalifornia,f
Jessica Fitzgibbons,14,139,8,395,44,196,22,157,45,188,20,10:34,northerncalifornia,f
Coral Lloyd,15,141,11,391,19,238,13,159,56,187,42,11:12,northerncalifornia,f
Cheryl Brost,15,141,44,354,17,241,20,158,17,192,43,11:14,northerncalifornia,f
Sara McRoberts,17,142,1,406,55,192,18,158,57,187,11,10:07,northerncalifornia,f
Annie Sakamoto,18,151,54,352,3,271,66,151,15,193,13,10:15,northerncalifornia,f
Kirsten Pedri,19,155,23,371,13,250,52,152,48,188,19,10:22,northerncalifornia,f
Valerie Calhoun,20,162,83,345,2,312,46,153,16,193,15,10:16,northerncalifornia,f
Crista Jorgensen,21,163,25,370,16,243,63,151,20,192,39,11:09,northerncalifornia,f
Meg Reardon,22,171,9,393,110,141,3,176,24,191,25,10:44,northerncalifornia,f
Ashley Bakken,23,200,26,361,26,203,64,151,29,191,55,11:21,northerncalifornia,f
Cheri Felisilda,24,201,76,347,39,197,11,160,65,187,10,10:06,northerncalifornia,f
Courtney Walker,25,209,27,360,6,261,145,142,5,197,26,10:45,northerncalifornia,f
Miranda Oldroyd,26,211,74,348,44,196,24,156,9,196,60,11:28,northerncalifornia,f
Breanne Feudale,27,215,40,355,31,200,15,158,70,187,59,11:26,northerncalifornia,f
Jen Cadmus,27,215,48,353,20,207,88,147,42,189,17,10:20,northerncalifornia,f
Jhauna Dyer,29,225,20,378,47,195,82,148,73,186,3,09:19,northerncalifornia,f
crystal mcreynolds,30,231,40,355,52,194,85,148,13,195,41,11:10,northerncalifornia,f
Liz Santos,31,232,27,360,27,202,44,153,76,186,58,11:23,northerncalifornia,f
Charis Chan,32,254,11,391,39,197,69,150,55,188,80,11:43,northerncalifornia,f
Jennie McKernan,33,257,64,350,22,205,37,154,121,183,13,10:15,northerncalifornia,f
Eleni Frediani,34,260,44,354,15,247,128,144,37,189,36,11:02,northerncalifornia,f
Lisa Rendic,35,264,70,349,61,189,57,152,28,191,48,11:18,northerncalifornia,f
Rosa Barron,36,273,54,352,22,205,121,145,41,189,35,10:58,northerncalifornia,f
Sarah Pierce,37,276,40,355,39,197,31,155,67,187,99,11:56,northerncalifornia,f
Casey Hutnick,38,283,61,351,21,206,41,154,49,188,111,12:09,northerncalifornia,f
Amanda Norton,39,284,61,351,34,198,111,145,33,190,45,11:15,northerncalifornia,f
Lisa Warren,40,285,54,352,34,198,103,146,8,197,86,11:46,northerncalifornia,f
Abbey Sloulin,41,291,36,357,77,182,72,149,58,187,48,11:18,northerncalifornia,f
Jenna Collins,42,294,19,385,147,137,36,154,26,191,66,11:34,northerncalifornia,f
Ana C. Caldas,43,299,2,404,169,135,14,159,59,187,55,11:21,northerncalifornia,f
Jackie Perez,44,304,48,353,10,256,148,142,27,191,71,11:37,northerncalifornia,f
Michelle Maehler,45,314,70,349,28,201,59,151,75,186,82,11:44,northerncalifornia,f
Chelsea Ryan,46,318,16,389,61,189,77,149,32,190,132,12:26,northerncalifornia,f
Ashley Albano,47,320,123,323,47,195,116,145,18,192,16,10:17,northerncalifornia,f
Lori Ramirez,48,322,33,359,53,193,138,144,35,190,63,11:30,northerncalifornia,f
Brittanie Williamson,49,326,36,357,55,192,115,145,30,190,90,11:48,northerncalifornia,f
Lauren Jirges,50,332,64,350,67,186,86,147,38,189,77,11:42,northerncalifornia,f
Colleen Fotsch,51,335,16,389,147,137,29,155,36,189,107,12:04,northerncalifornia,f
Brittany Williams,52,340,175,311,8,259,105,146,22,192,30,10:55,northerncalifornia,f
Liz Terry,53,362,23,371,220,130,6,169,66,187,47,11:17,northerncalifornia,f
Vanessa Santillan,54,369,11,391,34,198,177,141,81,186,66,11:34,northerncalifornia,f
Kirstie Arnaiz,55,372,159,313,71,184,81,148,52,188,9,10:04,northerncalifornia,f
Alicia Rocha,56,377,175,311,12,251,73,149,44,189,73,11:40,northerncalifornia,f
michaela xavier,57,382,83,345,81,176,74,149,74,186,70,11:36,northerncalifornia,f
Kelly Edelmann,58,394,80,346,98,143,100,146,39,189,77,11:42,northerncalifornia,f
Kate Brierley,59,395,98,340,63,188,30,155,108,184,96,11:52,northerncalifornia,f
Stephanie Smith,60,404,48,353,74,183,104,146,61,187,117,12:12,northerncalifornia,f
