Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Mandi Janowitz,1,18,2,402,3,264,1,175,1,202,11,10:44,southwest,f
Tiffany Hendrickson,2,61,19,376,1,346,36,155,4,197,1,09:42,southwest,f
Jasmine Dever,3,69,1,441,16,206,3,175,29,189,20,11:08,southwest,f
Tennil Reed,4,80,34,357,10,241,18,159,15,191,3,10:03,southwest,f
Andrea Ager,5,85,16,380,17,204,47,154,3,198,2,09:58,southwest,f
Leslie Johnson,6,87,29,359,11,207,21,158,17,191,9,10:39,southwest,f
Kristen Olson,7,120,2,402,24,203,12,163,59,186,23,11:12,southwest,f
Amanda DeRosa,8,128,10,391,64,187,42,154,8,193,4,10:25,southwest,f
Cynthia Arangua,9,132,7,394,71,180,4,175,25,189,25,11:17,southwest,f
Meghan Sweet,10,158,55,352,31,199,17,160,31,189,24,11:14,southwest,f
Abby Knowles,11,164,28,360,6,245,76,150,50,187,4,10:25,southwest,f
Nikki Carlin,12,168,7,394,8,244,66,151,34,188,53,11:46,southwest,f
Sheena Hammer,13,169,119,334,2,271,40,154,2,200,6,10:31,southwest,f
Analisa Marquez,14,179,69,348,49,192,14,161,11,193,36,11:24,southwest,f
Aimee Berencsi,15,183,69,348,37,196,16,161,20,190,41,11:29,southwest,f
Amanda Goodman,16,186,22,370,37,196,32,156,67,186,28,11:18,southwest,f
Dana Howell,17,187,26,361,80,176,2,175,43,187,36,11:24,southwest,f
Teresa Nield,18,196,14,388,17,204,108,146,49,187,8,10:38,southwest,f
Gabrielle Andrews,19,203,12,390,45,193,71,150,19,191,56,11:47,southwest,f
Whitney Cappellucci,20,207,31,358,17,204,10,165,6,196,143,12:43,southwest,f
Tylinn Rashan,20,207,26,361,11,207,96,147,30,189,44,11:32,southwest,f
April Digiannantonio,22,211,107,336,11,207,9,167,7,194,77,12:01,southwest,f
Courtney Modecki,23,215,113,335,49,192,15,161,10,193,28,11:18,southwest,f
Loree Smith,24,235,42,354,85,175,5,172,34,188,69,11:59,southwest,f
Andi Turner,25,245,61,350,17,204,49,153,16,191,102,12:18,southwest,f
Jaelyn Wolf,26,246,46,353,49,192,20,158,33,188,98,12:17,southwest,f
Ashley Miller,26,246,21,373,73,179,57,152,37,188,58,11:48,southwest,f
Shannan Hathcock,28,261,39,355,43,194,135,144,24,190,20,11:08,southwest,f
Claire Treanor,29,275,5,396,61,188,93,148,105,183,11,10:44,southwest,f
Colleen Maher,29,275,42,354,6,245,111,146,50,187,66,11:54,southwest,f
michaela north,31,288,77,347,57,190,79,149,40,188,35,11:23,southwest,f
Kendl Watt,32,296,81,346,37,196,81,149,86,184,11,10:44,southwest,f
Eleanor Campbell,33,298,29,359,73,179,35,155,56,186,105,12:20,southwest,f
Darcie Warren,34,300,165,315,57,190,42,154,18,191,18,11:07,southwest,f
Chris Perrins,35,301,165,315,11,207,30,156,37,188,58,11:48,southwest,f
Katie Mackey,36,319,23,368,172,136,63,151,44,187,17,11:00,southwest,f
Julie Sneed,36,319,42,354,80,176,38,155,71,185,88,12:09,southwest,f
Jessica Nathe,38,332,61,350,40,195,153,143,53,187,25,11:17,southwest,f
Jennifer Schaeffer,39,333,31,358,107,142,110,146,12,192,73,12:00,southwest,f
Aniela Marquez,40,338,10,391,117,140,8,168,171,181,32,11:19,southwest,f
shanae leavitt,40,338,69,348,45,193,120,145,22,190,82,12:05,southwest,f
Bobbi Heaney,42,341,99,341,117,140,37,155,26,189,62,11:50,southwest,f
Stefani Shiozaki,43,360,161,316,49,192,29,156,23,190,98,12:17,southwest,f
Naomie White,44,362,55,352,133,139,83,149,73,185,18,11:07,southwest,f
Becky Clark,45,369,69,348,17,204,162,143,68,186,53,11:46,southwest,f
Meredith Smith,46,376,107,336,29,200,90,148,82,184,68,11:56,southwest,f
Becky Conzelman,47,402,294,305,4,263,7,172,87,184,10,10:40,southwest,f
Katie Kunitzer,48,409,86,345,117,140,19,159,89,184,98,12:17,southwest,f
Nicole Christensen,49,422,61,350,43,194,219,140,47,187,52,11:44,southwest,f
Katrina Nichols,50,431,134,325,45,193,118,145,84,184,50,11:42,southwest,f
Abbey Wilkins,51,439,149,320,40,195,84,149,79,185,87,12:08,southwest,f
Erica Drennen,52,443,128,327,17,204,168,142,21,190,109,12:24,southwest,f
Carly Newlands,53,466,20,374,172,136,6,172,252,180,16,10:53,southwest,f
Emmalee Teribery,54,476,86,345,34,197,44,154,13,192,299,13:49,southwest,f
Julianne Smolen,55,484,46,353,75,178,31,156,181,181,151,12:47,southwest,f
Karen Ramirez,55,484,141,323,107,142,44,154,66,186,126,12:33,southwest,f
Johanne Snavely,57,486,107,336,75,178,113,146,138,182,53,11:46,southwest,f
Laura Dykins,58,497,39,355,34,197,283,137,62,186,79,12:03,southwest,f
Melissa Einbinder,59,501,186,313,24,203,54,152,9,193,228,13:22,southwest,f
Sloane Thomas,60,504,4,398,192,135,46,154,255,180,7,10:32,southwest,f
