Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Jason Smith,1,21,1,422,4,234,13,146,2,212,1,10:35,africa,m
Jean-Claude Jar dim,2,38,5,360,13,193,9,148,6,202,5,11:10,africa,m
Johann Werth,3,45,8,355,23,185,1,164,1,219,12,12:02,africa,m
Richard Smith,4,55,2,390,8,200,32,142,3,211,10,11:36,africa,m
Jaco Van der Vyver,5,59,24,345,3,244,10,148,16,195,6,11:13,africa,m
Mohamed Abou Auf,6,64,10,354,13,193,2,153,35,189,4,11:09,africa,m
David Levey,7,68,14,350,1,262,11,148,7,201,35,12:59,africa,m
Alan Foulis,8,89,8,355,43,142,21,144,14,196,3,10:59,africa,m
Dean Shaw,9,103,12,352,6,204,54,140,19,194,12,12:02,africa,m
Louis Achadinha,10,104,55,315,13,193,3,152,25,192,8,11:26,africa,m
Carl Du Plessis,11,135,16,348,18,190,48,140,27,191,26,12:46,africa,m
Leon Manders,12,139,11,353,55,139,3,152,37,189,33,12:55,africa,m
Estian Ferreira,13,147,31,343,10,195,44,141,13,197,49,13:21,africa,m
Brad Wolff,14,154,66,311,20,188,28,143,24,193,16,12:22,africa,m
Andre Gadney,15,155,66,311,11,194,42,141,4,209,32,12:51,africa,m
Cameron Mitchell,16,175,24,345,30,176,35,142,57,187,29,12:47,africa,m
Roman Chausse,17,178,15,349,19,189,31,142,10,198,103,14:21,africa,m
Andrew Martin,18,183,5,360,55,139,17,145,76,186,30,12:48,africa,m
Garth High,19,185,69,310,20,188,67,138,18,194,11,11:42,africa,m
Ivan Kruger,20,187,41,329,16,191,57,140,9,199,64,13:38,africa,m
Billy Pullen,21,196,106,305,20,188,47,140,21,193,2,10:40,africa,m
Gerhard van der Merwe,22,206,45,326,2,259,113,134,5,206,41,13:06,africa,m
Sean Tangney,23,215,24,345,23,185,70,138,20,193,78,13:59,africa,m
Wade Bothwell,24,220,3,367,40,143,94,135,8,200,75,13:57,africa,m
Kyle Howard,25,226,46,324,104,131,14,146,45,188,17,12:26,africa,m
Jean du Plessis,26,231,20,347,68,137,40,141,43,189,60,13:35,africa,m
Karim Maamoun,27,234,24,345,46,141,20,144,100,185,44,13:13,africa,m
Andre Olivier,28,242,33,341,49,140,88,136,47,188,25,12:43,africa,m
Cillie Malan,28,242,50,318,34,170,26,143,96,185,36,13:00,africa,m
Grant Bydawell,30,247,24,345,37,163,7,151,15,196,164,15:35,africa,m
Antony Swanepoel,30,247,53,316,75,135,49,140,39,189,31,12:49,africa,m
Gregory Dalton,32,271,46,324,68,137,104,134,31,190,22,12:42,africa,m
Brandon Graham,33,284,69,310,55,139,92,135,30,190,38,13:05,africa,m
Pierre Oelofsen,34,289,69,310,49,140,79,137,11,198,81,14:04,africa,m
Nico van der Walt,35,292,39,332,68,137,27,143,77,186,81,14:04,africa,m
Grant Moseby,36,306,128,301,43,142,39,141,22,193,74,13:54,africa,m
Frik OCallaghan,37,310,42,328,85,134,129,132,36,189,18,12:32,africa,m
Brendon Bantjes,38,313,7,359,104,131,8,149,60,187,134,15:04,africa,m
Hannes du Toit,38,313,86,308,28,180,51,140,133,183,15,12:20,africa,m
Quinton Z Van Rooyen,40,323,128,301,62,138,24,144,66,187,43,13:09,africa,m
Haitham Mahgoub,41,324,44,327,72,136,30,143,128,184,50,13:23,africa,m
Matthew Smith,42,343,128,301,85,134,25,143,42,189,63,13:37,africa,m
Jacques Du Toit,43,352,23,346,128,128,37,142,94,185,70,13:45,africa,m
Pierre Ferreira,43,352,78,309,36,167,43,141,89,186,106,14:27,africa,m
Tyron Hatch,45,358,42,328,49,140,141,131,65,187,61,13:36,africa,m
Muhammad Al Deeb,46,360,36,337,40,143,100,134,75,186,109,14:35,africa,m
Adham Salloum,47,363,62,312,46,141,127,132,64,187,64,13:38,africa,m
Mark Lubbe,48,370,40,331,30,176,83,137,55,188,162,15:32,africa,m
Frederik Engelbrecht,49,380,312,261,5,206,29,143,12,198,22,12:42,africa,m
Ben Schempers,50,383,168,289,29,178,41,141,79,186,66,13:40,africa,m
Nicholas Bordalo,51,397,20,347,49,140,223,130,98,185,7,11:25,africa,m
JP Knipe,52,407,37,333,121,129,5,152,158,182,86,14:09,africa,m
Chris Seymour,53,421,163,290,72,136,52,140,59,187,75,13:57,africa,m
Jannus Du Preez,54,423,53,316,85,134,45,140,107,185,133,15:02,africa,m
Julian Reichman,55,440,99,306,8,200,307,121,17,195,9,11:31,africa,m
Paul Hofman,56,442,92,307,39,146,223,130,62,187,26,12:46,africa,m
werner olivier,56,442,106,305,94,133,118,134,53,188,71,13:48,africa,m
Ludwig Viljoen,58,448,212,270,34,170,59,139,68,187,75,13:57,africa,m
Felix Malan,59,449,180,284,40,143,86,137,84,186,59,13:34,africa,m
Mourad Gaber,60,460,16,348,111,130,185,130,110,184,38,13:05,africa,m
