Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Bobby Noyce,1,28,4,407,3,331,7,169,3,246,11,09:49,northcentral,m
Jacob Heppner,2,86,14,398,1,345,66,152,2,247,3,09:09,northcentral,m
Alex Nettey,3,89,38,390,11,276,16,157,1,251,23,10:11,northcentral,m
Duke Burk,4,96,38,390,7,278,29,155,14,229,8,09:36,northcentral,m
Phillip Kniep,5,103,20,395,28,266,12,159,15,229,28,10:24,northcentral,m
Shane McBride,6,111,20,395,13,274,27,155,35,219,16,09:54,northcentral,m
Michael Bodi,7,113,17,396,32,264,3,175,7,236,54,10:43,northcentral,m
Justin Allen,8,117,15,397,42,257,6,172,4,240,50,10:40,northcentral,m
Andrew Kuechler,9,129,53,386,4,330,61,152,8,233,3,09:09,northcentral,m
Nick Bloch,10,182,1,437,146,203,2,178,25,223,8,09:36,northcentral,m
Luke Reiland,11,190,8,403,91,243,13,159,12,231,66,10:50,northcentral,m
Kyle Kasperbauer,12,195,25,393,50,254,90,150,28,222,2,08:54,northcentral,m
Dylan Kelly,13,197,23,394,137,204,5,173,18,226,14,09:51,northcentral,m
Jared Stevens,14,209,55,385,32,264,84,150,5,238,33,10:27,northcentral,m
Nate Dunfee,15,213,38,390,34,263,4,175,77,206,60,10:48,northcentral,m
Brandon Pastorek,16,214,91,371,24,268,36,154,13,230,50,10:40,northcentral,m
Drake Lambdin,17,226,38,390,18,272,78,150,32,220,60,10:48,northcentral,m
Matt Strand,18,236,17,396,39,259,58,152,79,205,43,10:36,northcentral,m
Andrew Porter,19,240,66,378,20,270,75,150,51,214,28,10:24,northcentral,m
Danny Burk,20,244,25,393,13,274,130,148,61,211,15,09:52,northcentral,m
Roderick Holloway,21,288,60,381,9,277,148,147,16,228,55,10:44,northcentral,m
Brice Collier,22,300,29,392,35,262,162,147,30,221,44,10:37,northcentral,m
Tony Koens,23,313,38,390,24,268,42,153,113,199,96,11:09,northcentral,m
Armand McCormick,24,314,60,381,66,250,69,151,34,220,85,11:02,northcentral,m
Colin Cartee,25,318,32,391,13,274,39,153,163,197,71,10:56,northcentral,m
Zak Carchedi,26,320,59,383,43,256,70,151,112,199,36,10:31,northcentral,m
Dre Strohm,27,329,25,393,85,244,11,160,11,232,197,11:48,northcentral,m
Reggie Hoegh,28,331,5,405,55,253,99,149,161,197,11,09:49,northcentral,m
Tyler Resch,29,333,71,377,114,222,88,150,38,218,22,10:06,northcentral,m
Andreas Janzen,30,339,55,385,30,265,127,148,94,200,33,10:27,northcentral,m
Kameron Rosenau,31,351,63,380,41,258,159,147,62,210,26,10:20,northcentral,m
Tyler Brungardt,32,358,82,373,103,237,35,154,48,214,90,11:05,northcentral,m
Charlie Donohue,33,388,333,347,2,344,34,154,18,226,1,08:42,northcentral,m
Kyle Flickinger,34,390,271,350,6,279,31,155,27,222,55,10:44,northcentral,m
Drew Hymer,35,408,38,390,18,272,51,153,198,196,103,11:12,northcentral,m
Jesse Bahrke,35,408,117,360,55,253,130,148,43,217,63,10:49,northcentral,m
Robert McCord,37,411,66,378,146,203,109,149,72,207,18,09:59,northcentral,m
Kenny Brown,38,423,192,354,85,244,86,150,32,220,28,10:24,northcentral,m
JR Kremer,39,438,9,402,196,199,43,153,99,200,91,11:07,northcentral,m
Ryan Funderburg,39,438,100,365,72,248,126,148,104,200,36,10:31,northcentral,m
Sinan Gocmen,41,456,3,410,43,256,39,153,150,198,221,11:53,northcentral,m
Josh Silvernail,42,459,17,396,69,249,106,149,22,225,245,11:59,northcentral,m
Arlen Castenada,43,465,66,378,38,260,20,157,88,202,253,12:06,northcentral,m
Kevin Schuetz,44,468,38,390,283,194,24,156,41,218,82,11:01,northcentral,m
Kyle Spears,45,481,171,356,55,253,147,147,101,200,7,09:34,northcentral,m
Andrew Wissmann,46,488,15,397,96,241,97,150,220,196,60,10:48,northcentral,m
Casey McCallister,47,492,2,428,96,241,286,143,40,218,68,10:52,northcentral,m
Joshua Page,48,504,285,349,72,248,26,155,96,200,25,10:17,northcentral,m
Travis Stoetzel,49,506,85,372,24,268,120,149,56,211,221,11:53,northcentral,m
Justin Dewing,50,507,117,360,125,205,194,146,44,217,27,10:22,northcentral,m
Daniel Lunney,51,509,141,359,55,253,130,148,131,198,52,10:41,northcentral,m
Marshall Creed,52,517,32,391,9,277,465,140,6,237,5,09:10,northcentral,m
John McCardle,52,517,150,358,20,270,21,156,238,195,88,11:04,northcentral,m
Joshua Rose,54,541,141,359,168,201,76,150,120,199,36,10:31,northcentral,m
Breck Berry,55,562,71,377,103,237,150,147,142,198,96,11:09,northcentral,m
Ben Schmidt,56,595,192,354,43,256,289,143,39,218,32,10:26,northcentral,m
Wayne Thompson,57,606,50,387,196,199,22,156,164,197,174,11:42,northcentral,m
Tucker Hood,58,627,78,375,43,256,239,145,98,200,169,11:40,northcentral,m
Justin Lowinski,59,629,32,391,103,237,329,143,119,199,46,10:38,northcentral,m
Kevin Dart,60,631,47,389,196,199,63,152,68,209,257,12:07,northcentral,m
