Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Ruth Anderson Horrell,1,29,7,397,5,269,4,175,2,217,11,10:12,australia,f
Pip Malone,2,47,6,399,6,265,28,154,3,212,4,09:46,australia,f
Kara Webb,3,68,1,431,1,340,64,149,1,236,1,08:44,australia,f
Denae Brown,4,69,15,390,15,208,29,153,8,197,2,09:06,australia,f
Amanda Allen,5,73,23,382,22,199,19,156,6,198,3,09:45,australia,f
Amy Dracup,6,97,35,360,12,247,33,153,5,202,12,10:13,australia,f
Hahn Nicole,7,103,3,401,41,192,11,164,39,188,9,10:07,australia,f
Jessica Coughlan,8,107,30,372,2,325,55,150,4,204,16,10:22,australia,f
Kate Mitchell,8,107,3,401,25,197,24,155,27,190,28,10:43,australia,f
Ashley Higgins,10,112,26,380,28,196,3,175,17,192,38,11:02,australia,f
Courtney Fitzharris,11,128,35,360,31,195,5,175,16,193,41,11:05,australia,f
Justine Beath,11,128,49,355,11,249,30,153,25,190,13,10:15,australia,f
Vicki Webber,13,131,7,397,10,252,76,147,15,193,23,10:35,australia,f
Dimi Poulos,14,148,22,384,53,187,9,169,57,187,7,10:03,australia,f
Claire Fraser,15,149,35,360,19,202,61,149,10,194,24,10:36,australia,f
Alethea Boon,16,152,62,351,16,207,38,152,9,195,27,10:42,australia,f
Alahna Marshall,17,178,28,377,41,192,45,151,32,189,32,10:46,australia,f
Tracey Stewart,18,185,35,360,77,143,14,159,40,188,19,10:29,australia,f
Rebecca Gowing,19,191,66,350,25,197,49,151,14,194,37,10:59,australia,f
Tia-Clair Toomey,20,197,9,396,41,192,35,152,59,187,53,11:16,australia,f
Melissa Booton,21,220,11,395,55,186,31,153,68,186,55,11:18,australia,f
Emma Hissey,22,236,15,390,34,194,27,154,42,188,118,12:12,australia,f
Brimlea-Jane Smyth,23,249,13,392,46,191,66,148,54,187,70,11:34,australia,f
April Hering,24,251,41,359,50,188,90,146,22,191,48,11:12,australia,f
Jaime Goodwin,25,255,66,350,14,239,77,147,13,194,85,11:49,australia,f
Rachael Cleave,25,255,62,351,31,195,80,147,31,190,51,11:15,australia,f
Penny Kemp,27,259,49,355,3,274,182,142,19,192,6,09:59,australia,f
Jamie Greene,28,266,71,349,7,260,160,142,18,192,10,10:08,australia,f
Alice Tucker,29,273,20,385,39,193,20,156,163,182,31,10:45,australia,f
Beck Smith,30,296,62,351,108,139,16,158,77,185,33,10:51,australia,f
Nicola Hanna,31,302,92,346,22,199,120,144,23,191,45,11:10,australia,f
Stephanie Ortiz,31,302,35,360,34,194,141,143,41,188,51,11:15,australia,f
Rebecca Wright,33,305,49,355,108,139,13,161,65,186,70,11:34,australia,f
Kristie Williams,34,306,62,351,118,138,25,154,55,187,46,11:11,australia,f
Samantha Drescher,34,306,33,363,125,137,60,149,26,190,62,11:27,australia,f
Madeleine Jacques,36,332,24,381,108,139,6,172,180,182,14,10:21,australia,f
Ali Murdoch,37,348,27,379,9,258,278,138,12,194,22,10:34,australia,f
Joelene Neville,38,359,42,358,125,137,8,169,29,190,155,12:34,australia,f
Kate Stewart,39,371,179,315,50,188,71,148,43,188,28,10:43,australia,f
Grace Dallimore,39,371,87,347,50,188,85,146,82,185,67,11:33,australia,f
Lindsay Vaughan,41,381,12,393,4,270,293,137,7,197,65,11:30,australia,f
Rachelle Maatouk,41,381,49,355,67,173,10,165,36,189,219,12:56,australia,f
Lauren Jones,43,395,58,352,138,136,37,152,79,185,83,11:47,australia,f
Evelina Dalecki,44,399,133,334,13,243,175,142,52,187,26,10:41,australia,f
Lisa Lake,45,410,46,356,178,133,2,175,165,182,19,10:29,australia,f
Tamarind Robinson,46,414,151,326,82,142,107,145,21,191,53,11:16,australia,f
Charlotte van Veenendaal,47,427,71,349,25,197,139,143,74,185,118,12:12,australia,f
Tai-anne Blair,48,433,100,345,82,142,1,177,87,185,163,12:38,australia,f
Belinda Murray,48,433,114,344,34,194,161,142,96,184,28,10:43,australia,f
Carly Menzies,50,436,42,358,95,140,153,143,132,183,14,10:21,australia,f
Veronica Torr,51,441,135,333,48,189,51,151,56,187,151,12:33,australia,f
Whitney Teesdale,52,446,179,315,151,135,12,161,99,184,5,09:54,australia,f
Madeline Sturt,53,453,124,339,125,137,50,151,45,188,109,12:05,australia,f
Claire Fernandez,54,470,80,348,61,177,133,144,46,188,150,12:32,australia,f
Darcia Ondrovcik,55,472,92,346,125,137,47,151,133,183,75,11:41,australia,f
Angela Hudson,56,481,2,403,162,134,42,152,268,180,7,10:03,australia,f
Amy Alessi,56,481,71,349,8,259,300,137,24,191,78,11:44,australia,f
Kaitlyn Sheppard,58,482,143,330,95,140,41,152,85,185,118,12:12,australia,f
Kylee Flesher,59,485,71,349,214,131,15,158,126,183,59,11:22,australia,f
Anita Graham,60,503,58,352,41,192,126,144,206,181,72,11:36,australia,f
