Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Samantha Briggs,1,9,1,472,5,274,1,187,1,256,1,08:31,europe,f
Martina Barbaro,2,28,3,415,7,261,2,181,7,197,9,10:05,europe,f
Annie Thorisdottir,3,53,4,407,3,276,3,176,3,198,40,11:05,europe,f
Kristin Holte,4,56,8,399,8,259,25,155,13,195,2,08:52,europe,f
Emma Rosengren,5,74,9,397,3,276,16,158,14,194,32,10:56,europe,f
Ragnheiður Sara Sigmundsdottir,6,82,5,405,16,204,41,152,4,198,16,10:30,europe,f
Bjork Odinsdottir,7,85,17,378,9,257,18,158,11,196,30,10:53,europe,f
Oksana Pikmulova,8,95,2,427,20,200,24,155,29,190,20,10:37,europe,f
Thuridur Erla Helgadottir,9,100,23,371,2,320,61,149,2,200,12,10:21,europe,f
Katrin Tanja Davidsdottir,10,104,6,403,1,321,88,146,6,197,3,09:48,europe,f
Hjördís Óskarsdóttir,11,117,71,349,6,264,15,158,5,198,20,10:37,europe,f
Nicola Simpson,12,125,25,369,34,192,4,176,9,196,53,11:19,europe,f
Caroline Fryklund,13,160,40,356,11,247,9,164,8,196,92,11:53,europe,f
Jenny Jacobsen,13,160,11,392,30,194,36,153,31,190,52,11:17,europe,f
Oxana Slivenko,15,161,38,357,14,207,47,151,23,192,39,11:03,europe,f
Laura Faulkner,16,167,16,381,18,203,73,148,16,194,44,11:09,europe,f
Camilla Salomonsson Hellman,17,182,65,350,64,142,21,157,21,192,11,10:10,europe,f
Emelie Smiding,18,185,65,350,20,200,28,155,10,196,62,11:29,europe,f
Nuša Repovž,19,190,56,352,25,195,26,155,33,189,50,11:15,europe,f
Gina Yates,20,192,32,359,10,254,103,145,37,189,10,10:08,europe,f
Becky Pykett,21,205,50,353,30,194,5,171,48,187,72,11:37,europe,f
Oddrun Eik Gylfadottir,21,205,22,374,43,186,52,150,64,185,24,10:41,europe,f
Marianna Tzourtzek,23,224,88,346,16,204,30,154,36,189,54,11:20,europe,f
Linnéa Fransson,24,226,88,346,77,139,37,152,17,193,7,10:01,europe,f
Patricia Strenius,25,227,34,358,72,140,11,162,32,190,78,11:45,europe,f
Rachel Watling,26,236,15,384,48,183,51,150,44,188,78,11:45,europe,f
Helena Falk,27,245,42,355,25,195,78,147,35,189,65,11:31,europe,f
Sanne Rooijmans,28,251,95,345,19,202,28,155,26,191,83,11:46,europe,f
Steph Dekker,29,261,88,346,25,195,70,149,30,190,48,11:13,europe,f
Heidi Horelli,30,264,149,315,43,186,6,167,47,187,19,10:36,europe,f
Hilary Riordan,31,276,24,370,42,188,119,144,17,193,74,11:38,europe,f
Sónia Alves,32,314,10,393,23,198,115,144,125,182,41,11:06,europe,f
Andrea Berggren,33,317,56,352,104,135,27,155,83,184,47,11:12,europe,f
Eva Cortiella,34,319,149,315,58,143,71,148,27,191,14,10:24,europe,f
Karin Dike,35,338,12,390,23,198,62,149,223,180,18,10:33,europe,f
Emilia Leppänen,36,340,34,358,34,192,101,145,99,183,72,11:37,europe,f
Anna Hulda Olafsdottir,37,350,95,345,53,178,99,145,46,187,57,11:23,europe,f
Saara Laaksonen,38,355,113,335,15,205,143,143,24,191,60,11:28,europe,f
Sara Ellegaard Andreasen,39,366,65,350,34,192,65,149,167,181,35,11:00,europe,f
Sara Armanius,40,384,62,351,171,130,34,154,85,184,32,10:56,europe,f
Megan Lovegrove,41,390,106,341,25,195,174,141,34,189,51,11:16,europe,f
Carmen Bosmans,42,393,71,349,12,239,266,138,20,192,24,10:41,europe,f
Louise Tjäder,42,393,48,354,43,186,182,141,54,186,66,11:32,europe,f
Marina Novelli,44,394,27,362,25,195,10,163,224,180,108,12:07,europe,f
Ann-Katrin Weber,45,397,85,347,115,134,7,167,97,183,93,11:54,europe,f
mia iden Hellesen,46,407,202,311,64,142,95,145,40,188,6,09:58,europe,f
Minelle Bachau Jensen,47,410,65,350,92,137,76,148,78,184,99,12:02,europe,f
Kelly Friel,48,414,34,358,82,138,116,144,156,181,26,10:46,europe,f
Rebecca Gould,49,421,20,376,57,174,231,139,55,186,58,11:26,europe,f
Sari Rautiala,50,435,56,352,92,137,56,150,96,183,135,12:24,europe,f
Ingunn Ludviksdottir,51,442,79,348,50,182,217,140,41,188,55,11:21,europe,f
Chloe Williams,52,448,32,359,82,138,86,146,124,182,124,12:13,europe,f
Beth Hoggarth,53,450,106,341,82,138,31,154,75,184,156,12:32,europe,f
Angelica Bengtsson,54,462,56,352,58,143,226,139,100,183,22,10:40,europe,f
Mikaela Norman,55,471,7,400,171,130,67,149,218,180,8,10:03,europe,f
Elise Labrunie,56,478,202,311,72,140,81,147,38,189,85,11:48,europe,f
matilde orlandoni,57,479,42,355,39,190,150,142,63,186,185,12:48,europe,f
Gwendolin Sona,58,502,398,299,32,193,23,156,15,194,34,10:58,europe,f
Sarah Krarup,59,507,29,361,128,133,157,142,129,182,64,11:30,europe,f
Hrund Scheving,60,512,181,313,77,139,69,149,69,185,116,12:10,europe,f
