Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Kelley Jackson,1,28,1,415,1,353,21,158,4,196,1,08:57,northcentral,f
Stacie Tovar,1,28,5,395,3,267,17,159,1,198,2,09:11,northcentral,f
Kristin Miller,3,49,2,400,5,263,19,159,8,194,15,10:24,northcentral,f
Jessica Schulz,4,61,6,394,3,267,12,168,3,197,37,10:57,northcentral,f
Elisabeth Akinwale,5,79,36,356,7,261,1,191,13,193,22,10:38,northcentral,f
Kristin King,6,89,18,374,23,204,2,179,43,188,3,09:33,northcentral,f
Becca Clarin,7,94,14,385,46,197,18,159,12,193,4,09:38,northcentral,f
kara paslay,8,113,9,391,33,200,45,153,21,191,5,09:44,northcentral,f
Brooke Wells,9,127,7,393,33,200,4,175,50,187,33,10:53,northcentral,f
Grace Dresher,10,145,82,347,12,253,27,157,7,194,17,10:33,northcentral,f
Alexandra LaChance,11,166,7,393,8,260,39,155,2,198,110,12:04,northcentral,f
Mallory Lawson,12,169,13,387,27,203,34,155,47,188,48,11:12,northcentral,f
Ashley Van Boxtel,13,171,76,348,9,256,58,152,18,192,10,10:05,northcentral,f
Andrea Nisler,14,181,95,345,23,204,15,163,35,189,13,10:17,northcentral,f
Melissa Dinsmore,15,183,82,347,20,206,10,169,51,187,20,10:37,northcentral,f
Madison Freeman,16,189,22,360,2,269,119,147,29,190,17,10:33,northcentral,f
Ashley Carlson,17,194,20,368,85,183,43,154,6,195,40,11:03,northcentral,f
Megan John,18,213,36,356,31,201,53,152,85,185,8,09:56,northcentral,f
Christina Merlo,19,223,55,352,18,207,98,149,10,194,42,11:04,northcentral,f
Laura Murphy,20,254,36,356,13,250,157,145,36,189,12,10:14,northcentral,f
Tristan Erlenbaugh,20,254,62,351,17,239,81,150,33,189,61,11:31,northcentral,f
JB Newell,22,259,42,355,120,143,8,171,65,186,24,10:39,northcentral,f
Michele Weissenhofer,23,263,30,358,46,197,11,168,42,189,134,12:14,northcentral,f
Sarah Grant,24,264,30,358,6,262,136,146,83,185,9,09:58,northcentral,f
Jaime Noyce,25,268,30,358,99,177,20,159,28,190,91,11:53,northcentral,f
M'Kelle Tomberlin,26,271,74,349,38,199,16,160,30,190,113,12:06,northcentral,f
Emily Yates,27,286,4,398,38,199,164,144,69,186,11,10:11,northcentral,f
Emma Moburg-Jones,28,289,55,352,75,188,31,156,74,186,54,11:20,northcentral,f
Britt Ringstrom,29,303,76,348,127,142,13,165,26,190,61,11:31,northcentral,f
Katie Schmitz,30,311,95,345,27,203,102,149,5,195,82,11:45,northcentral,f
Sonia Rodriguez,31,313,9,391,110,173,42,154,59,187,93,11:55,northcentral,f
Charity Dye,32,319,18,374,13,250,155,145,40,189,93,11:55,northcentral,f
Lisa Rolfe,33,337,16,384,105,175,41,154,120,184,55,11:21,northcentral,f
kinsy rosati,34,339,22,360,105,175,57,152,97,185,58,11:27,northcentral,f
Brook Moberly,35,345,51,353,54,195,107,148,107,185,26,10:44,northcentral,f
Kelly Nicolas,36,347,55,352,101,176,114,148,52,187,25,10:41,northcentral,f
Jessica Farrell,37,360,152,322,20,206,91,149,68,186,29,10:46,northcentral,f
Tracy Alberty,38,362,74,349,108,174,85,150,11,194,84,11:48,northcentral,f
Bridget Ahlfield,39,365,127,334,58,194,25,158,72,186,83,11:47,northcentral,f
Mekenzie Riley,40,372,42,355,18,207,290,140,16,192,6,09:49,northcentral,f
Kady Sackett,41,375,89,346,38,199,142,146,49,188,57,11:26,northcentral,f
Shannon Duggan,42,383,119,338,44,198,97,149,39,189,84,11:48,northcentral,f
Megan Scales,43,396,9,391,127,142,83,150,57,187,120,12:09,northcentral,f
Christy Jeffery,44,409,17,381,158,139,117,148,81,186,36,10:56,northcentral,f
Lydia Novotny,45,410,216,313,54,195,99,149,25,190,16,10:27,northcentral,f
Katelyn Busacker,46,419,55,352,72,189,55,152,80,186,157,12:26,northcentral,f
Maria McIntyre,47,447,129,333,110,173,51,153,31,190,126,12:12,northcentral,f
Kristen Rosenau,48,449,163,317,51,196,140,146,23,191,72,11:40,northcentral,f
Janelle Ragusa,48,449,125,335,81,184,82,150,58,187,103,12:00,northcentral,f
Amy Cash,50,460,21,364,158,139,35,155,100,185,146,12:21,northcentral,f
Rachel Pirkl,51,463,62,351,92,181,127,147,142,183,40,11:03,northcentral,f
Megan MacLellan,52,475,9,391,81,184,212,142,70,186,103,12:00,northcentral,f
Kelsi Chowning,53,481,30,358,149,140,47,153,209,181,46,11:09,northcentral,f
Libby DiBiase,54,494,95,345,38,199,187,143,62,187,112,12:05,northcentral,f
Nicole Samida,55,496,62,351,149,140,32,155,153,183,100,11:58,northcentral,f
Tosha Pastorek,56,497,76,348,69,191,234,142,41,189,77,11:44,northcentral,f
Amanda Proehl,57,527,89,346,15,248,350,138,54,187,19,10:35,northcentral,f
Nina Arezina,58,531,42,355,89,182,163,144,85,185,152,12:23,northcentral,f
Katie Trombetta,59,535,305,307,54,195,14,164,142,183,20,10:37,northcentral,f
Mary Theobald,60,537,82,347,138,141,86,150,17,192,214,12:49,northcentral,f
