Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Kaleena Ladeairous,1,20,3,416,3,272,3,180,4,196,7,09:52,northeast,f
Cheryl Nasso,2,33,6,399,5,265,14,171,6,195,2,09:33,northeast,f
Sarah Scholl,3,64,2,422,19,207,22,162,11,192,10,10:09,northeast,f
Dani Horan,4,80,32,359,4,270,17,166,2,198,25,10:43,northeast,f
Katelyn Schuh,5,90,6,399,46,195,8,175,12,192,18,10:25,northeast,f
Rachel Martinez,6,117,25,360,2,273,73,152,9,193,8,09:55,northeast,f
Angela Kamendulis,7,119,14,381,24,202,27,160,33,190,21,10:35,northeast,f
Erica Pollock,8,121,18,373,46,195,6,175,17,191,34,10:54,northeast,f
Stacey Kroon,9,129,60,351,1,274,48,155,8,194,12,10:14,northeast,f
Jenny Davis,10,157,9,393,10,255,70,153,29,190,39,11:00,northeast,f
Tiffany Szemplinski,11,187,90,346,43,196,10,175,14,192,30,10:51,northeast,f
Megin Oczkowski,12,209,81,347,17,238,51,154,31,190,29,10:48,northeast,f
Sheila Barden,13,210,50,354,7,260,145,147,7,195,1,08:46,northeast,f
christina morris,14,222,11,390,26,201,46,155,74,187,65,11:20,northeast,f
Lauren Conner,15,227,43,355,73,187,43,156,62,187,6,09:50,northeast,f
Rachel Goldenberg,16,233,43,355,14,244,45,155,1,200,130,11:53,northeast,f
Michelle Kercado,17,242,149,332,8,257,23,161,30,190,32,10:53,northeast,f
Sara Hill Mass,18,243,36,358,18,236,142,148,3,197,44,11:03,northeast,f
Tracy O'Donnell,18,243,25,360,43,196,59,153,100,185,16,10:22,northeast,f
Elizabeth Adams,20,260,25,360,132,142,1,183,65,187,37,10:59,northeast,f
Lauren Plumey,21,261,23,369,21,204,11,174,16,192,190,12:23,northeast,f
Emmy Simpkins,22,278,140,334,31,200,75,152,13,192,19,10:32,northeast,f
Molly Abgarian,23,288,43,355,11,252,206,144,5,196,23,10:41,northeast,f
Christie Choma,24,299,25,360,61,192,139,148,70,187,4,09:42,northeast,f
Kelly Munroe,25,300,12,384,61,192,19,162,193,182,15,10:19,northeast,f
kylee claxton,26,304,90,346,42,197,60,153,28,190,84,11:31,northeast,f
Lizzy Smith,27,307,75,348,72,188,124,148,27,190,9,10:08,northeast,f
Keidy Toomey,28,316,15,378,26,201,210,144,37,189,28,10:47,northeast,f
Vanessa Whiting,29,317,42,356,46,195,114,149,63,187,52,11:13,northeast,f
Kristen Kane,30,320,90,346,33,199,90,151,24,191,83,11:30,northeast,f
Elizabeth Warren,31,325,38,357,26,201,93,150,35,189,133,11:56,northeast,f
Carla Bezold,32,326,24,362,149,140,55,154,49,188,49,11:09,northeast,f
Jennifer Hunter-Marshall,33,349,43,355,31,200,111,150,61,188,103,11:42,northeast,f
Michelle Fountain,34,358,18,373,37,198,191,145,19,191,93,11:35,northeast,f
Allyson Bushey,35,376,188,317,37,198,99,150,20,191,32,10:53,northeast,f
Keri Ann Koegel,35,376,153,330,24,202,69,153,75,187,55,11:14,northeast,f
Maria Vulcano,37,395,22,372,54,194,137,148,136,184,46,11:08,northeast,f
Kristine Best,38,398,38,357,149,140,16,166,192,182,3,09:41,northeast,f
Lisa Mikkelsen,39,404,32,359,99,176,21,162,86,186,166,12:10,northeast,f
Elizabeth Rogers,40,409,138,335,15,242,192,145,23,191,41,11:01,northeast,f
Jennifer Lesniak,41,419,69,349,175,138,50,154,38,189,87,11:33,northeast,f
Jessa Lemoine,42,430,126,340,13,248,49,154,47,188,195,12:24,northeast,f
Kelly Steadman,43,433,81,347,73,187,38,157,57,188,184,12:20,northeast,f
Kassandra Aveni,44,437,90,346,94,180,150,147,67,187,36,10:58,northeast,f
Alicia Gomes,45,446,275,310,6,261,117,149,25,191,23,10:41,northeast,f
Karianne Dickson,45,446,131,338,20,206,170,146,36,189,89,11:34,northeast,f
Ayn Toppin,47,447,25,360,99,176,54,154,142,184,127,11:52,northeast,f
Alice Efland,48,448,69,349,12,249,98,150,124,185,145,12:02,northeast,f
Amy Mandelbaum,49,453,16,376,138,141,47,155,89,186,163,12:09,northeast,f
melissa smith,50,454,129,339,26,201,127,148,131,184,41,11:01,northeast,f
Miwa Andrus,51,458,131,338,70,190,106,150,112,185,39,11:00,northeast,f
Abby Graham,52,466,51,353,122,143,6,175,76,187,211,12:29,northeast,f
Kate Denny,53,473,36,358,37,198,186,145,64,187,150,12:04,northeast,f
Nancy Kegelman,54,486,119,343,58,193,86,151,71,187,152,12:05,northeast,f
Kaitlyn Fitzgerald,55,489,275,310,16,240,67,153,34,190,97,11:37,northeast,f
Andrea Cooke,56,509,18,373,61,192,26,160,245,181,159,12:08,northeast,f
Kristen Graham,57,513,124,341,217,136,39,157,87,186,46,11:08,northeast,f
Michele Sano,58,515,196,315,58,193,66,153,94,186,101,11:40,northeast,f
Jaime Vanacore,59,521,38,357,250,134,62,153,103,185,68,11:22,northeast,f
Cady Hart,60,523,51,353,107,174,127,148,108,185,130,11:53,northeast,f
