Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Jessie Jo Young,1,37,9,382,6,259,3,173,5,194,14,10:38,southcentral,f
Cassidy Lance,2,64,17,360,1,309,37,153,8,194,1,09:40,southcentral,f
Chely Galvan,3,68,17,360,21,204,6,167,1,197,23,10:58,southcentral,f
Karen Pierce,4,74,13,372,32,199,5,169,20,190,4,10:08,southcentral,f
Amanda Schwartz,5,90,56,347,3,267,27,155,2,196,2,09:46,southcentral,f
Megan Norris,6,97,3,396,7,258,19,157,63,187,5,10:14,southcentral,f
Jenn Jones,7,100,3,396,10,249,10,162,6,194,71,11:53,southcentral,f
Candice Ruiz,8,122,52,348,47,194,1,183,12,192,10,10:26,southcentral,f
Janet Black,9,124,23,358,4,265,85,148,9,193,3,10:07,southcentral,f
Brista Mayfield,10,132,26,356,2,273,21,157,31,189,52,11:38,southcentral,f
Holly Mata,11,139,63,346,13,243,18,157,28,189,17,10:49,southcentral,f
Audra LeBeau,12,142,2,397,14,240,23,156,25,189,78,11:57,southcentral,f
Alexis Johnson,13,150,26,356,17,206,38,153,14,192,55,11:39,southcentral,f
Heather Sanchez,14,151,30,355,41,195,53,151,16,191,11,10:27,southcentral,f
Jenna Gracey,15,152,16,361,19,205,45,152,52,187,20,10:56,southcentral,f
Danielle Sawyer,16,153,63,346,17,206,32,154,30,189,11,10:27,southcentral,f
Stacey Magnesio,17,155,36,354,11,244,78,149,21,190,9,10:23,southcentral,f
Rachel Garibay,18,168,22,359,91,143,11,162,15,192,29,11:12,southcentral,f
Randi Whitley,19,192,6,391,78,180,16,158,26,189,66,11:51,southcentral,f
Chelsea Lewis,20,200,11,378,54,192,63,150,4,195,68,11:52,southcentral,f
Carey Kepler,20,200,12,374,41,195,8,164,65,186,74,11:54,southcentral,f
Ingrid Kantola,22,206,56,347,27,201,25,156,11,193,87,12:02,southcentral,f
Carla Lewis,23,208,17,360,100,142,7,164,76,185,8,10:21,southcentral,f
Jasmine Pando,24,210,39,352,54,192,17,157,43,188,57,11:41,southcentral,f
Jessica Malone,25,218,30,355,16,231,50,151,10,193,112,12:24,southcentral,f
Arielle Armstrong,26,229,17,360,15,237,103,146,13,192,81,11:59,southcentral,f
Erin Carter,27,231,1,405,21,204,146,144,3,195,60,11:48,southcentral,f
Nikki Isbell,28,254,14,369,47,194,116,146,17,191,60,11:48,southcentral,f
Lisa Thiel,29,270,131,315,47,194,12,161,34,189,46,11:34,southcentral,f
Beth Spearman,30,275,112,326,4,265,124,145,7,194,28,11:11,southcentral,f
Marilyn Kelleher,31,288,30,355,41,195,68,149,44,188,105,12:17,southcentral,f
Teresa Trojanowski,32,295,23,358,32,199,40,153,40,188,160,12:43,southcentral,f
Leah Shullenberger,33,297,39,352,19,205,71,149,19,190,149,12:38,southcentral,f
Brandi Bonifay,34,307,43,351,66,187,56,151,58,187,84,12:00,southcentral,f
Kristin Tucker,35,313,121,323,91,143,14,158,67,186,20,10:56,southcentral,f
Chelsea McKinney,36,317,122,322,32,199,75,149,47,188,41,11:28,southcentral,f
Hollye Henderson,37,330,119,324,37,198,94,147,40,188,40,11:27,southcentral,f
Whitney Welsch,38,338,70,345,111,141,55,151,53,187,49,11:36,southcentral,f
leigh hester,39,364,10,381,69,186,57,151,213,180,15,10:43,southcentral,f
Leah Kay,40,377,52,348,100,142,87,148,46,188,92,12:06,southcentral,f
Stephanie Ognjanovski,41,382,56,347,111,141,121,145,42,188,52,11:38,southcentral,f
Rosalyn Adkison,42,388,88,336,53,193,59,151,94,184,94,12:08,southcentral,f
Sara Urban,43,391,6,391,75,183,9,163,123,183,178,12:55,southcentral,f
Kim Dunaway,43,391,8,383,27,201,161,143,26,189,169,12:50,southcentral,f
Megan Thornell,45,410,30,355,91,143,28,155,218,180,43,11:31,southcentral,f
Anabelle Ponce,46,413,231,307,41,195,76,149,45,188,20,10:56,southcentral,f
Laura Poling,46,413,70,345,72,185,35,153,212,180,24,11:00,southcentral,f
Katherine Anderson,48,425,131,315,164,136,26,156,57,187,47,11:35,southcentral,f
Jill DiGiampaolo,49,429,180,311,111,141,44,152,78,185,16,10:48,southcentral,f
Megan Cannon,50,434,131,315,21,204,89,148,48,188,145,12:35,southcentral,f
Fernanda Magana,51,447,48,349,29,200,239,140,38,189,93,12:07,southcentral,f
Christi Dukes,52,451,63,346,39,196,208,141,97,184,44,11:33,southcentral,f
Brooke Dreiss,53,456,17,360,181,135,172,142,50,187,36,11:21,southcentral,f
Kelsey Briner,54,457,63,346,127,139,142,144,119,183,6,10:18,southcentral,f
Kristen Moores,54,457,39,352,164,136,35,153,115,183,104,12:15,southcentral,f
Jessica Aelvoet,56,458,131,315,41,195,88,148,68,186,130,12:30,southcentral,f
Aida Koepplinger,57,471,219,308,39,196,96,147,37,189,80,11:58,southcentral,f
Bethany Hernandez,58,476,164,313,25,203,217,141,23,190,47,11:35,southcentral,f
Nicole Mount,59,485,45,350,60,190,254,139,18,190,108,12:19,southcentral,f
Amber Cortese,60,487,180,311,100,142,98,147,91,184,18,10:53,southcentral,f
