Athlete,overall_rank,overall_score,14_1_rank,14_1_score,14_2_rank,14_2_score,14_3_rank,14_3_score,14_4_rank,14_4_score,14_5_rank,14_5_score,region,gender
Valerie Voboril,1,30,6,399,3,332,9,175,9,195,3,09:35,southerncalifornia,f
Chelsey Hughes,2,35,1,417,1,334,23,157,5,196,5,09:43,southerncalifornia,f
Danielle Hale,3,41,2,405,10,256,11,175,2,199,16,10:38,southerncalifornia,f
Jamie Hagiya,4,44,2,405,15,207,15,170,8,196,4,09:42,southerncalifornia,f
Lauren Fisher,5,48,35,354,5,271,5,177,1,205,2,09:31,southerncalifornia,f
Rebecca Voigt,6,56,12,391,15,207,16,170,5,196,8,10:06,southerncalifornia,f
Lindsey Valenzuela,7,71,5,402,24,199,6,176,15,194,21,10:51,southerncalifornia,f
Kristan Clever,8,72,17,379,14,244,32,155,3,197,6,09:51,southerncalifornia,f
Elyse Persico,9,89,8,395,1,334,58,151,12,195,10,10:14,southerncalifornia,f
Carlie Stone,10,91,9,393,44,193,8,175,7,196,23,10:52,southerncalifornia,f
Rachel Serna,11,120,4,404,42,194,27,156,10,195,37,11:14,southerncalifornia,f
Nellie Garcia,12,124,28,360,9,258,61,150,16,193,10,10:14,southerncalifornia,f
Jenn Ryan,13,125,21,372,27,197,35,154,27,190,15,10:37,southerncalifornia,f
Natalie McClure,14,129,12,391,44,193,11,175,31,189,31,11:06,southerncalifornia,f
Amanda Douglas,15,149,9,393,63,183,1,188,17,192,59,11:39,southerncalifornia,f
Meaghan Galindo,15,149,35,354,8,262,71,149,21,191,14,10:33,southerncalifornia,f
Shanon Humphrey,17,153,11,392,77,176,2,179,20,191,43,11:21,southerncalifornia,f
Nomi Nilson,18,178,28,360,25,198,80,147,26,190,19,10:46,southerncalifornia,f
Lauren Gravatt,19,185,14,390,72,180,49,151,38,188,12,10:30,southerncalifornia,f
Tonia Osborne,20,186,41,352,27,197,60,150,37,188,21,10:51,southerncalifornia,f
Randi Slusser,21,198,7,396,13,245,28,156,49,187,101,12:13,southerncalifornia,f
Chelsey Grigsby,22,204,25,370,21,202,140,142,11,195,7,09:52,southerncalifornia,f
Anne Marie May,22,204,19,375,77,176,19,163,14,194,75,11:57,southerncalifornia,f
Catherine Hubbard,24,221,39,353,21,202,59,150,62,186,40,11:16,southerncalifornia,f
Melody Sanchez,25,227,87,339,6,267,113,145,4,197,17,10:40,southerncalifornia,f
Brittany Stevens,26,238,45,351,42,194,81,147,29,190,41,11:18,southerncalifornia,f
Christine Navarro,27,266,69,345,44,193,75,148,41,188,37,11:14,southerncalifornia,f
Pam Eamranond,28,270,63,347,18,206,74,148,25,191,90,12:07,southerncalifornia,f
Melissa Hurley,29,276,21,372,44,193,18,168,139,182,54,11:35,southerncalifornia,f
Ashlee Hegner,30,277,35,354,77,176,45,152,81,185,39,11:15,southerncalifornia,f
Jaime Howe,31,288,39,353,19,203,77,148,111,183,42,11:19,southerncalifornia,f
Caitlin Hogan,32,290,33,355,57,186,40,153,159,182,1,09:28,southerncalifornia,f
Christina Deleon,33,291,69,345,50,191,34,155,68,186,70,11:52,southerncalifornia,f
Katie Crowe,34,297,69,345,94,143,38,154,19,192,77,11:59,southerncalifornia,f
Lindsay Schuil,35,313,49,350,86,173,20,162,76,185,82,12:03,southerncalifornia,f
Giermaine Kinnick,36,314,17,379,94,143,44,152,141,182,18,10:45,southerncalifornia,f
Madelyn Curley,37,323,58,348,4,275,172,141,13,195,76,11:58,southerncalifornia,f
Hayley Montroy,37,323,69,345,65,182,7,176,136,182,46,11:26,southerncalifornia,f
Shelly Mielke,39,327,41,352,63,183,69,149,24,191,130,12:32,southerncalifornia,f
Merisa Downs,39,327,41,352,156,136,29,156,75,185,26,10:53,southerncalifornia,f
Rhett Chase,41,328,69,345,25,198,141,142,59,186,34,11:09,southerncalifornia,f
Kristen Curry,42,364,69,345,27,197,122,144,35,189,111,12:22,southerncalifornia,f
Erin Maddox,43,369,93,337,101,142,52,151,100,184,23,10:52,southerncalifornia,f
Lindsey Deitsch,44,373,90,338,65,182,42,152,116,183,60,11:41,southerncalifornia,f
Rachel Gamallo,45,379,20,374,101,142,84,147,51,187,123,12:28,southerncalifornia,f
Chelsie Morter,46,383,221,309,7,264,109,145,23,191,23,10:52,southerncalifornia,f
Jessemyn Russell,47,396,95,336,31,196,82,147,58,186,130,12:32,southerncalifornia,f
Vanessa Reyes,48,406,87,339,27,197,216,138,40,188,36,11:12,southerncalifornia,f
Amani Floyd,49,407,45,351,86,173,25,156,115,183,136,12:35,southerncalifornia,f
Anne Austad,50,413,33,355,19,203,128,143,127,183,106,12:16,southerncalifornia,f
Colette Swensen,51,446,69,345,117,140,73,148,138,182,49,11:32,southerncalifornia,f
Kat Apostolina,52,457,132,319,31,196,133,143,114,183,47,11:27,southerncalifornia,f
Christina DeMetropolis,53,459,194,311,15,207,76,148,66,186,108,12:21,southerncalifornia,f
Brigitte osborn,53,459,134,317,129,138,22,160,53,187,121,12:25,southerncalifornia,f
Michaela Bebernes,53,459,104,331,101,142,47,152,178,181,29,10:57,southerncalifornia,f
Anneke Marvin,56,465,52,349,90,169,94,146,89,184,140,12:38,southerncalifornia,f
Amanda Barelli,57,468,45,351,170,135,54,151,42,188,157,12:47,southerncalifornia,f
Melissa Popovich,58,475,137,315,31,196,202,139,44,188,61,11:42,southerncalifornia,f
Jenn Garbick,58,475,114,327,73,179,152,142,63,186,73,11:54,southerncalifornia,f
Candice Ulibarri,60,487,16,382,89,170,9,175,137,182,236,13:27,southerncalifornia,f
